,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,International
2020-02-10,40235,27,26,43,18,15,14,3,,1,,,,32,3,1,,1,,,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,14,2,,4,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2020-02-11,42708,28,26,45,18,15,15,3,,1,,,,33,3,1,,1,,,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,14,2,,8,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
2020-02-12,44730,28,28,47,18,15,15,3,,1,,,,33,3,1,,1,,,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,16,2,,8,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
2020-02-13,46550,28,29,50,18,15,16,3,,1,,,,33,3,1,,1,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174
2020-02-14,48548,28,33,58,19,15,16,3,,1,,,,33,3,1,,1,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
2020-02-15,50054,28,41,67,21,15,16,3,,1,,,,34,3,1,,1,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
2020-02-16,51174,29,53,72,22,15,16,3,,1,,,,34,3,1,,1,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355
2020-02-17,70635,30,59,75,22,15,16,3,,1,,,,35,3,1,,1,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454
2020-02-18,72528,31,65,77,22,15,16,3,,1,,,,35,3,1,,1,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454
2020-02-19,74280,51,73,81,22,15,16,3,,1,,,,35,3,1,,1,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542
2020-02-20,74675,104,85,84,22,15,16,3,,1,,,,35,3,1,,1,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621
2020-02-21,75569,204,93,85,22,17,16,3,,1,,,,35,3,1,,1,,,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634
2020-02-22,76392,346,105,86,22,21,16,3,,1,,,,35,3,1,,1,,,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634
2020-02-23,77042,602,132,89,22,22,16,3,,1,,,,35,3,1,,1,,,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,76,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634
2020-02-24,77262,763,144,89,22,22,16,3,,1,,,,35,3,1,,1,,,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,124,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695
2020-02-25,77780,977,157,90,22,22,16,3,,1,,,,37,3,1,,1,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,229,12,16,2,,13,1,,,1,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,13,1,8,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691
2020-02-26,78191,1261,164,91,22,23,16,3,,1,,,,40,3,1,,1,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,322,12,18,2,1,13,1,,,1,1,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,13,1,12,5,26,4,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691
2020-02-27,78630,1766,186,93,22,23,16,3,,1,,,,40,3,1,,1,,,59,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,400,18,21,12,1,13,2,,1,2,1,2,2,,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,13,2,43,6,33,4,1,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
2020-02-28,78961,2337,210,96,24,23,16,3,1,1,,,,40,3,1,,1,,,59,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,650,38,26,25,6,16,7,1,4,2,1,3,4,,3,2,1,1,3,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,245,19,2,43,7,33,6,1,1,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
2020-02-29,79394,3150,230,98,24,24,16,3,1,1,,,,42,3,1,,1,,,62,14,1,2,,,,,,,,,,,,,,,,,,,,,,,,,888,57,57,32,10,20,12,2,6,2,1,5,5,,5,2,3,1,3,2,1,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,388,19,2,45,8,38,6,1,1,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
2020-03-01,79968,3736,239,102,24,25,16,3,1,1,,,,42,3,1,,1,,,62,19,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,1128,100,57,45,18,23,13,7,15,2,1,7,10,,7,2,3,1,3,3,1,3,1,3,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,593,19,2,45,13,40,6,1,1,1,4,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
2020-03-02,80174,4212,254,106,24,27,16,3,1,1,,,,42,3,1,2,1,,,62,19,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,1689,100,129,45,24,36,14,13,19,6,1,7,10,2,7,2,3,1,7,3,1,4,1,3,1,1,1,,,,1,1,3,1,,,,,,,,,,,,,,,,,,978,21,10,56,19,47,6,1,2,3,4,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706
2020-03-03,80304,4812,268,108,29,33,16,3,2,1,,,,43,5,1,2,1,,,64,27,2,5,6,1,,,,,,,,,,,,,,,,,,,,,,,2036,191,157,114,30,39,15,18,25,7,8,10,18,9,8,3,3,1,7,3,1,5,8,3,1,1,1,,,,1,1,3,1,1,1,2,,,,,,,,,,,,,,,1501,21,13,56,26,49,6,1,2,7,5,1,1,1,1,,,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706
2020-03-04,80422,5328,284,110,50,43,16,3,2,1,,,,43,6,1,2,1,,,108,30,2,5,7,1,1,1,,,,,,,,,,,,,,,,,,,,,2502,212,196,151,37,51,24,28,32,7,8,12,24,16,9,3,4,1,7,3,2,8,8,3,1,1,1,,,,2,1,5,1,1,1,2,1,1,,,,,,,,,,,,,2336,27,13,56,31,49,12,1,2,8,5,1,1,1,1,,,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706
2020-03-05,80565,5766,317,110,50,57,16,3,2,1,,,,47,29,1,2,1,,,129,30,3,5,7,1,1,1,,,,,,,,,,,,,,,,,,,,,3089,282,262,198,56,89,35,38,56,7,23,15,37,26,9,3,4,1,9,3,2,10,16,3,6,1,1,1,1,,2,1,5,1,1,1,7,1,1,,,2,2,,,,,,,,,2922,27,13,58,36,49,15,1,2,8,5,1,2,1,2,,,12,4,,,1,,,,,,,,,,,,,,,,,,,,,4,2,1,1,,,,,,,,,,,,,,,706
2020-03-06,80711,6284,349,117,55,57,16,5,4,1,,,1,47,30,1,2,1,,,148,45,7,5,13,1,1,1,,,,,,,,,,,,,,,,,,,,,3858,420,534,257,86,118,61,82,86,12,50,15,47,26,10,4,6,1,32,9,3,18,21,3,6,1,1,1,6,1,14,1,12,1,1,1,9,1,1,,,2,2,,,,,,,,,3513,27,16,58,36,49,16,1,3,8,5,1,2,1,8,,,12,4,1,1,1,,,,,,,,,,,,,,,,,,,,,7,2,1,1,,,,,,,,,,,,,,,696
2020-03-07,80813,6767,408,130,83,62,17,5,5,1,,,1,48,31,1,2,1,,,213,51,13,5,14,1,2,5,1,1,,,,,,,,,,,,,,,,,,,4636,613,639,374,209,167,137,128,113,19,109,19,66,45,11,7,7,3,32,9,10,23,24,9,6,1,1,1,9,1,18,1,12,2,1,1,13,1,5,1,1,2,5,,,,,,,,,4747,45,22,58,44,49,16,1,3,11,5,1,2,1,8,,,17,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,16,2,1,1,,,,,,,,,,,,,,,696
2020-03-08,80859,7134,455,138,93,74,21,6,5,2,,,1,50,34,1,6,1,2,,213,57,19,7,14,1,9,5,1,6,5,,,,,,,,,,,,,,,,,,5883,706,795,430,264,210,161,188,147,19,169,25,104,45,11,7,13,3,66,12,10,31,27,9,6,1,1,1,12,1,19,1,26,2,1,1,21,1,6,3,1,2,7,3,2,1,,,,,,5823,45,28,62,54,56,16,4,48,12,5,1,2,1,11,,,17,4,2,2,1,1,,,,,,,,,,,,,,,,,,,,16,2,1,1,1,5,2,,,,,,,,,,,,696
2020-03-09,80904,7382,488,150,93,77,30,10,5,2,,,1,50,43,1,6,1,4,3,213,62,25,7,15,1,12,10,1,6,9,1,,,,,,,,,,,,,,,,,7375,1116,1112,589,332,277,203,265,169,30,200,39,112,55,11,7,15,3,73,13,10,36,37,9,6,1,1,1,16,1,21,1,32,2,3,1,30,1,11,5,1,2,9,3,4,1,2,,,,,6566,45,32,64,60,79,16,4,55,15,6,1,2,2,15,,,20,4,2,3,2,1,,,,,,,,,,,,,,,,,,,,19,2,1,1,2,5,2,,,,,,,,,,,,696
2020-03-10,80924,7513,514,160,117,92,31,33,5,2,1,1,1,53,44,1,19,1,4,3,472,77,25,7,15,5,12,13,3,9,9,1,1,,,,,,,,,,,,,,,,9172,1402,1139,1024,332,323,248,321,192,40,239,39,131,55,12,7,15,7,73,15,10,90,49,9,6,1,1,1,23,1,24,1,38,5,6,1,30,1,16,7,1,2,9,4,4,1,2,2,,,,7161,59,41,65,61,109,18,4,59,18,16,1,2,2,15,,,20,4,2,7,2,1,,,,,,,,,,,,,,,,,,,,26,2,1,1,2,5,2,1,,,,,,,,,,,696
2020-03-11,80955,7755,568,166,129,112,35,49,5,3,1,1,1,59,60,1,27,1,8,3,696,93,34,7,15,5,17,17,3,11,13,5,8,2,1,,,,,,,,,,,,,,10149,1774,1296,1639,491,373,326,382,277,40,267,75,182,61,16,7,25,7,89,23,13,262,63,9,9,1,1,1,31,12,34,1,61,5,8,1,41,1,22,7,1,4,13,4,6,3,10,2,,,,8042,74,41,69,61,110,18,4,59,24,16,1,3,6,20,,,20,4,2,7,2,1,2,1,,,,,,,,,,,,,,,,,,30,2,1,1,2,5,3,1,,,,,,,,,,,696
2020-03-12,80981,7869,620,178,129,122,39,52,5,3,1,12,1,70,73,1,34,2,8,3,987,93,52,11,17,5,19,23,9,17,13,5,10,2,1,2,,,,,,,,,,,,,12462,2269,1567,2140,645,460,461,503,489,40,314,75,302,61,16,20,48,7,98,23,13,615,63,9,12,3,1,1,57,19,43,1,94,17,16,1,41,1,44,10,1,4,13,6,7,4,10,6,1,,,9000,74,66,80,70,189,18,7,67,262,19,1,5,6,21,,,25,4,2,13,2,1,2,1,1,,,,,,,,,,,,,,,,,30,2,1,1,2,5,3,1,1,,,,,,,,,,696
2020-03-13,80991,7979,675,187,129,140,39,52,5,5,1,12,1,75,74,1,34,3,8,3,1264,138,77,12,17,5,31,33,9,22,22,5,14,3,1,2,3,1,1,,,,,,,,,,15113,2860,2369,2965,858,594,620,614,489,109,314,75,361,61,16,34,48,7,98,25,13,674,63,11,12,3,1,4,57,19,70,1,116,17,16,1,41,3,49,21,1,4,16,9,7,4,23,6,1,,,10075,85,66,80,70,195,18,7,67,262,20,1,6,7,21,,,25,10,2,17,2,1,2,1,1,,,,,,,,,,,,,,,,,31,2,1,1,2,6,4,1,1,2,3,,,,,,,,696
