date,World,Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Faeroe Islands,Finland,France,French Guiana,French Polynesia,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guadeloupe,Guernsey,Guinea,Guyana,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kenya,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malaysia,Maldives,Malta,Martinique,Mexico,Moldova,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Saint Barthlemy,Saint Martin (French part),Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Vatican,Venezuela,Vietnam
2020-01-31,2006,,,,,,,,2,,,,,,,,,,,,,,0,,0,,,1984,,,,,,,,,,,,,,,,0,1,,,,,1,,,,,,,,,,,0,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,7,,0,,,,0,,,,,,0,,1,,,3
2020-02-01,2121,,,,,,,,3,,,,,,,,,,,,,,0,,1,,,2101,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,0,,,,,,,0,,3,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,1,,0,,,,5,,,,,,0,,1,,,1
2020-02-02,2604,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,2590,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,1,,,,,,,0,,3,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,2,,,,3,0,0,,0,,0,,,,,,1,0,1,,,1
2020-02-03,2834,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,2827,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,1,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,0,0,0,,0,,0,,,,,,0,0,3,,,1
2020-02-04,3239,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,3233,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,0,,,,,,,0,,0,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,1,0,0,,0,,0,,,,,,0,0,0,,,1
2020-02-05,3913,,,,,,,,1,,,,,,,,,,,,,,0,,1,,,3892,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,,,,,,0,,3,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,6,,,,2,0,0,,0,,6,,,,,,0,0,0,,,1
2020-02-06,3712,,,,,,,,1,,,,,,0,,,,,,,,0,,0,,,3697,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,,,,,,0,,2,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,4,,,,5,0,0,,0,,0,,,,,,0,0,1,,,0
2020-02-07,3205,,,,,,,,1,,,,,,0,,,,,,,,0,,2,,,3151,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,0,,41,,,,,1,,0,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,2,,,,1,0,0,,0,,0,,,,,,0,1,0,,,2
2020-02-08,3405,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,3387,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,0,,3,,,,,0,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,0,0,0,,0,,7,,,,,,2,0,0,,,1
2020-02-09,2672,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,2653,,,,,,,,,,,,,,,,0,5,,,,,0,,,,,,,,,,,0,,0,,,,,0,,1,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,7,,,,3,0,0,,0,,0,,,,,,0,0,0,,,1
2020-02-10,2996,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,2984,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,6,,,,,0,,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,0,1,0,,0,,0,,,,,,0,1,0,,,0
2020-02-11,2549,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,2473,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,65,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,2,,,,1,0,0,,0,,1,,,,,,1,4,1,,,1
2020-02-12,2068,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,2022,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,0,,40,,,,,0,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,2,,,,0,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-13,1826,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,1820,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,-1,,,,,0,,1,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,0,0,0,,0,,0,,,,,,0,1,1,,,1
2020-02-14,2056,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,1998,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,44,,,,,0,,4,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,8,,,,0,0,0,,0,,0,,,,,,0,0,1,,,0
2020-02-15,1526,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,1506,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,,0,,,,,0,,8,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,9,,,,0,0,0,,0,,1,,,,,,0,0,0,,,0
2020-02-16,1277,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,1120,,,,,,,,,,,,0,,,,0,1,,,,,0,,,,,,,,,,,0,,137,,,,,0,,12,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,5,,,,1,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-17,19572,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,19461,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,99,,,,,0,,6,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,1,0,0,,0,,1,,,,,,1,0,0,,,0
2020-02-18,1903,,,,,,,,0,,,,,,0,,,,,,,,0,,1,,,1893,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,0,,,,,0,,6,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,2,,,,1,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-19,1872,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,1752,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,88,,,,,0,,8,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,4,,,,20,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-20,542,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,395,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,79,,,,,0,,12,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,53,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-21,1021,,,,,,,,2,,,,,,0,,,,,,,,0,,0,,,894,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,13,3,,,,0,,8,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,1,,,,100,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-22,1023,,,,,,,,4,,,,,,0,,,,,,,,0,,0,,,823,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,0,13,,,,6,,12,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,1,,,,142,0,0,,0,,0,,,,,,2,0,20,,,0
2020-02-23,1017,,,,,,,,1,,,,,,0,,,,,,,,0,,1,,,650,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,0,10,,,0,67,,27,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,256,0,0,,0,,0,,,,,,2,0,0,,,0
2020-02-24,517,,,,,,,,0,,,,,,0,,,,,,,,0,,0,,,220,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,61,15,,,0,48,,12,,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,161,0,0,,0,,0,,,,,,0,0,0,,,0
2020-02-25,896,,,,,,,,0,,,,,,0,,,,,,,,0,,1,,,518,,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,0,,-4,18,,,1,105,,13,,,,5,,0,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,1,,,,214,0,0,,0,,2,,,,,,0,4,18,,,0
2020-02-26,864,0,,,,,,,1,,,18,,,0,,,,,,,,0,,0,,,411,,,,,,,,,,,,0,,,,0,0,,,,,2,,,,,,,,,,,0,,0,34,4,,0,93,,7,,,,4,,0,,,,,0,,,,,,,,,0,,,,,2,,,,,,0,,,,,,,0,,,,,,,,1,,,,284,0,0,,0,,3,,,,,,0,0,0,,,0
2020-02-27,1175,0,,0,,,,,0,0,,7,,,0,,,,,,,,0,,1,,,439,,,,1,,,,,,,,0,,,,1,6,,,,,3,,,,,,,,,,,0,,14,46,1,,0,78,,22,,,,31,,1,,,,,0,,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,,,,2,,,,505,10,0,,1,0,0,,,,,,0,0,6,,,0
2020-02-28,1353,0,,0,,,,,0,2,,0,,,0,,,,0,,,,0,,0,,,331,,,,0,,,,,0,,,0,0,,,0,20,,,,0,5,,,2,,,,,,,,0,,0,104,1,,1,250,,24,,,,0,,0,,,,0,2,,,,,,,,,0,,,,3,2,0,,,,,0,,,,,,0,0,,,,,,,,3,,,,571,13,0,,5,5,0,,,,,,6,3,0,,,0
2020-02-29,1748,0,,0,,,,,1,1,,5,,0,0,,,,0,,,,0,,3,,,433,,,,2,,,,,1,,,0,0,,,0,19,,,,1,31,,,0,,,,,,,,0,,0,143,1,,2,238,,20,,,,2,,0,,0,,0,0,,,,,,,,,0,1,0,0,2,0,0,,,,,0,,,,,,2,0,,,,,,,,2,,,,813,7,0,,5,4,2,,,,,,0,4,3,,,0
2020-03-01,1727,0,,0,,,,,1,5,,2,,0,0,,,,1,,,,0,,5,,,574,,,,2,,,,,1,,,0,0,,,0,43,,,,1,0,,,0,,,,,,,,0,,0,205,5,,2,240,,9,,,,0,,0,,0,,0,0,,,,0,,,,,0,5,0,0,9,0,2,,,,,0,,,,,,0,0,,,,0,,,,4,,,,586,13,0,,1,8,0,,,,,,0,3,0,,,0
2020-03-02,1801,0,,0,,,,,2,0,0,7,,0,0,,,,0,,,,0,,0,,,206,,,,0,,,,,1,,0,1,0,,,4,0,,,,0,72,,,4,,,,,,,,0,,1,385,6,0,0,561,,15,,,,11,,8,,0,,0,0,,,,3,,0,,,0,6,0,0,4,0,0,,,,,0,,,,2,,0,0,,,,0,,,,4,,,,476,0,0,,1,6,0,,,,,,2,13,0,,,0
2020-03-03,1912,0,,4,,,,0,6,8,0,2,,0,7,,,,0,,,,0,,8,,,130,,,,1,,,0,,1,0,5,0,0,,,1,91,,,,0,28,,,0,,,,,,,7,2,0,0,523,7,0,3,347,,14,,,,0,,3,,0,0,0,5,,,,0,,0,,,0,5,1,0,6,0,1,,,,,0,,,,4,,0,1,,,,7,,,,2,,,,600,69,0,,1,6,1,,,,,,0,3,2,,,0
2020-03-04,2217,0,,0,0,,,0,10,6,0,0,,0,0,,,,0,,,,0,,3,,,118,,,,1,,,2,,3,0,1,0,1,,,0,21,,,,0,39,,,0,,,,,,,7,1,0,0,835,5,1,2,466,,16,,0,,0,0,0,,0,0,0,21,,,,0,,0,,0,0,10,0,0,7,6,0,,,,,0,,0,,1,,1,0,,,,0,0,0,,2,,,,516,37,0,,9,7,0,,,0,,,6,12,44,,,0
2020-03-05,2220,0,,7,0,,0,0,14,13,0,0,,5,15,,,,1,,,,0,,0,,0,143,,,,0,,,0,,2,0,0,0,0,,,0,70,,,,0,66,,,2,,,,,,,10,23,0,0,586,5,0,3,587,,33,,0,,2,0,0,,0,0,0,0,,,,0,,0,,1,0,10,0,0,24,3,0,,,,,0,0,5,,0,,0,0,,,,8,1,3,,0,,,,438,47,0,,11,19,4,,,0,,0,0,38,21,,,0
2020-03-06,2864,0,,0,0,,0,0,0,10,0,0,,0,27,,,0,4,,,,0,,15,,0,146,,,,1,,,7,,8,0,6,1,1,,,5,138,,,,6,272,,0,23,,,,,,0,0,1,0,-10,591,0,12,0,769,,32,,0,,0,0,3,0,0,0,0,5,,,,0,,0,,0,0,44,2,0,30,1,0,3,,,,2,0,2,,0,,2,1,0,0,,5,6,0,,7,,5,,518,59,0,,26,30,0,,,0,,0,0,29,19,,,0
2020-03-07,3730,0,,5,0,,1,0,5,19,6,0,,0,59,0,,0,6,,,,0,1,6,,4,102,,,,1,,,0,,5,0,1,0,7,,,7,193,,,,0,105,,0,0,,,,,,3,19,1,0,0,1234,8,4,4,778,,59,,0,,0,0,6,0,0,1,2,28,,,,0,,0,,0,0,46,1,0,27,0,0,9,,,,0,4,4,,3,,1,3,0,0,,3,0,0,0,13,,3,0,483,117,0,,76,123,1,,,0,,0,18,49,65,,,1
2020-03-08,3644,3,,0,0,,7,0,12,38,0,7,,0,60,0,,0,6,,,,1,0,6,,0,46,0,,,0,,,14,,8,0,0,45,0,,,0,93,,,,3,156,,0,34,,,,,,2,0,3,4,0,1076,10,1,6,1247,,47,,0,,4,0,6,0,0,0,0,10,,,,2,,0,,0,0,60,0,0,34,0,0,0,,,5,1,1,8,,1,,6,0,0,0,,3,3,0,0,8,2,3,1,367,56,0,,24,55,2,0,,0,,0,0,43,0,0,,4
2020-03-09,3979,0,,3,0,,3,0,3,8,0,23,,0,31,0,,0,6,,2,,0,0,5,,5,45,0,4,,0,,,6,,5,0,1,7,0,,1,11,410,0,,,1,317,,0,7,,,,,,2,10,9,0,0,743,6,2,14,1492,,33,,0,,2,2,4,0,0,0,0,0,2,0,0,0,0,0,,0,0,77,0,1,22,0,1,3,,,0,4,5,9,,3,,2,0,0,0,,10,4,0,0,12,2,4,1,248,159,0,,42,68,0,0,,1,,0,0,67,0,0,,9
2020-03-10,4119,0,0,0,0,,0,0,15,19,0,30,0,0,39,0,,0,0,,0,,0,0,15,,3,20,2,0,,1,,,6,,54,4,0,4,0,,0,10,286,0,,,2,27,,0,0,,,,,,0,0,1,13,0,595,1,3,0,1797,,26,,0,,1,3,9,0,0,3,4,24,0,1,0,0,0,0,,0,0,56,0,0,23,2,10,7,,0,3,23,5,0,,3,,0,0,0,0,,12,0,0,0,10,2,7,4,131,435,0,,45,0,3,0,,0,,0,14,46,259,0,,1
2020-03-11,4611,0,8,0,0,,5,0,20,51,0,1,0,3,28,0,,2,9,0,2,,1,0,16,,4,31,0,4,,4,,0,23,,172,0,0,0,3,,0,0,372,0,,,8,157,,0,16,,0,,,,4,6,16,8,0,881,0,10,36,977,,54,,0,,4,2,0,0,0,0,0,12,4,0,1,0,2,0,0,1,0,61,0,0,85,0,0,4,7,4,2,16,6,11,,6,,10,0,0,0,,14,5,0,11,6,0,8,0,242,615,0,,78,159,6,0,,4,,0,15,50,224,0,,4
2020-03-12,6936,3,0,5,0,,2,0,10,120,0,79,0,3,47,0,0,0,18,11,1,0,0,0,0,,6,26,6,0,,0,,4,33,0,353,0,2,8,0,,0,0,495,0,,,0,271,,0,9,,0,,,,0,0,13,7,0,958,9,9,0,2313,0,52,,0,,11,8,25,0,2,12,0,0,0,2,0,4,1,0,0,2,0,121,0,0,212,0,3,0,2,0,6,3,22,0,,238,,23,13,0,0,,0,1,0,7,12,3,26,6,114,501,1,,135,154,11,0,,0,,0,0,87,291,0,,4
2020-03-13,7488,0,13,0,0,,12,0,18,59,2,6,0,0,0,0,1,0,25,0,0,0,2,0,45,,10,10,0,9,0,0,,0,22,0,59,0,0,0,0,,0,69,591,1,0,,2,802,,0,0,,0,,,0,3,0,1,0,0,1075,0,27,0,2651,0,55,,0,,0,0,0,3,0,0,0,0,0,3,1,1,0,0,0,1,0,111,0,0,0,0,1,1,4,0,5,0,5,0,,0,,0,14,0,0,,0,0,6,0,9,11,0,4,110,825,1,,159,213,5,0,,1,0,2,11,134,277,0,,0
2020-03-14,9766,0,10,1,1,,3,7,57,143,0,15,0,9,285,0,0,7,21,13,0,0,2,0,38,,10,30,7,1,0,11,1,8,34,1,127,0,6,26,66,,1,0,780,0,0,,0,693,,0,0,,0,,5,0,3,0,8,35,1,1289,23,20,25,2547,6,41,0,0,,20,0,11,0,3,21,2,68,1,3,2,14,4,1,0,1,0,190,1,0,261,1,1,4,13,1,6,12,15,71,,0,2,16,0,0,0,0,3,41,0,12,13,9,84,0,107,1266,3,,155,267,0,0,,9,4,0,0,208,414,0,,9
