date,vaccine,total_vaccinations,location
2021-03-13,Moderna,269055,Italy
2021-03-13,Oxford/AstraZeneca,1082652,Italy
2021-03-13,Pfizer/BioNTech,5337893,Italy
2021-03-14,Moderna,275780,Italy
2021-03-14,Oxford/AstraZeneca,1122690,Italy
2021-03-14,Pfizer/BioNTech,5395914,Italy
2021-03-15,Oxford/AstraZeneca,1168998,Italy
2021-03-15,Pfizer/BioNTech,5508052,Italy
2021-03-15,Moderna,286394,Italy
2021-03-16,Moderna,298143,Italy
2021-03-16,Oxford/AstraZeneca,1169411,Italy
2021-03-16,Pfizer/BioNTech,5634490,Italy
2021-03-17,Moderna,309238,Italy
2021-03-17,Oxford/AstraZeneca,1169729,Italy
2021-03-17,Pfizer/BioNTech,5786337,Italy
2021-03-18,Moderna,321801,Italy
2021-03-18,Oxford/AstraZeneca,1169898,Italy
2021-03-18,Pfizer/BioNTech,5934619,Italy
2021-03-19,Pfizer/BioNTech,6077842,Italy
2021-03-19,Moderna,332713,Italy
2021-03-19,Oxford/AstraZeneca,1187151,Italy
2021-03-20,Pfizer/BioNTech,6189096,Italy
2021-03-20,Moderna,344842,Italy
2021-03-20,Oxford/AstraZeneca,1235634,Italy
2021-03-21,Moderna,354186,Italy
2021-03-21,Oxford/AstraZeneca,1278378,Italy
2021-03-21,Pfizer/BioNTech,6263916,Italy
2021-03-22,Moderna,365556,Italy
2021-03-22,Oxford/AstraZeneca,1344318,Italy
2021-03-22,Pfizer/BioNTech,6374732,Italy
2021-03-23,Moderna,378534,Italy
2021-03-23,Oxford/AstraZeneca,1418724,Italy
2021-03-23,Pfizer/BioNTech,6503848,Italy
2021-03-24,Pfizer/BioNTech,6661500,Italy
2021-03-24,Moderna,393070,Italy
2021-03-24,Oxford/AstraZeneca,1489704,Italy
2021-03-25,Moderna,409552,Italy
2021-03-25,Oxford/AstraZeneca,1564840,Italy
2021-03-25,Pfizer/BioNTech,6824415,Italy
2021-03-26,Moderna,426708,Italy
2021-03-26,Oxford/AstraZeneca,1641303,Italy
2021-03-26,Pfizer/BioNTech,6985710,Italy
2021-03-27,Oxford/AstraZeneca,1703590,Italy
2021-03-27,Moderna,453065,Italy
2021-03-27,Pfizer/BioNTech,7123632,Italy
2021-03-28,Oxford/AstraZeneca,1756447,Italy
2021-03-28,Moderna,469556,Italy
2021-03-28,Pfizer/BioNTech,7208825,Italy
2021-03-29,Oxford/AstraZeneca,1820805,Italy
2021-03-29,Moderna,492266,Italy
2021-03-29,Pfizer/BioNTech,7345856,Italy
