date,vaccine,total_vaccinations,location
2021-03-16,Oxford/AstraZeneca,146000,Czechia
2021-03-16,Pfizer/BioNTech,942006,Czechia
2021-03-17,Pfizer/BioNTech,972851,Czechia
2021-03-17,Moderna,104117,Czechia
2021-03-17,Oxford/AstraZeneca,154790,Czechia
2021-03-18,Moderna,111049,Czechia
2021-03-18,Oxford/AstraZeneca,163777,Czechia
2021-03-18,Pfizer/BioNTech,1006253,Czechia
2021-03-19,Moderna,117056,Czechia
2021-03-19,Oxford/AstraZeneca,172328,Czechia
2021-03-19,Pfizer/BioNTech,1038824,Czechia
2021-03-20,Moderna,118157,Czechia
2021-03-20,Oxford/AstraZeneca,174662,Czechia
2021-03-20,Pfizer/BioNTech,1052029,Czechia
2021-03-21,Oxford/AstraZeneca,175114,Czechia
2021-03-21,Pfizer/BioNTech,1060084,Czechia
2021-03-21,Moderna,118463,Czechia
2021-03-22,Moderna,122538,Czechia
2021-03-22,Oxford/AstraZeneca,181770,Czechia
2021-03-22,Pfizer/BioNTech,1085627,Czechia
2021-03-23,Moderna,126307,Czechia
2021-03-23,Oxford/AstraZeneca,189125,Czechia
2021-03-23,Pfizer/BioNTech,1113629,Czechia
2021-03-24,Moderna,130442,Czechia
2021-03-24,Oxford/AstraZeneca,196649,Czechia
2021-03-24,Pfizer/BioNTech,1143833,Czechia
2021-03-25,Pfizer/BioNTech,1175973,Czechia
2021-03-25,Moderna,134477,Czechia
2021-03-25,Oxford/AstraZeneca,203938,Czechia
2021-03-26,Pfizer/BioNTech,1209473,Czechia
2021-03-26,Moderna,136916,Czechia
2021-03-26,Oxford/AstraZeneca,209394,Czechia
2021-03-27,Moderna,138155,Czechia
2021-03-27,Oxford/AstraZeneca,210214,Czechia
2021-03-27,Pfizer/BioNTech,1220347,Czechia
2021-03-28,Moderna,139703,Czechia
2021-03-28,Oxford/AstraZeneca,210307,Czechia
2021-03-28,Pfizer/BioNTech,1228210,Czechia
