Entity,Code,Date,"Deaths, 2020, all ages","Average deaths, 2015–2019, all ages"
Belgium,BEL,2020-02-16,2302,2524
Belgium,BEL,2020-02-23,2293,2488
Belgium,BEL,2020-03-01,2236,2545
Belgium,BEL,2020-03-08,2212,2453
Belgium,BEL,2020-03-15,2223,2345
Belgium,BEL,2020-03-22,2547,2322
Belgium,BEL,2020-03-29,3185,2227
Belgium,BEL,2020-04-05,4019,2120
Belgium,BEL,2020-04-12,4282,2095
Belgium,BEL,2020-04-19,3699,2051
Belgium,BEL,2020-04-26,3031,2032
Belgium,BEL,2020-05-03,2410,2012
Belgium,BEL,2020-05-10,2380,2030
Belgium,BEL,2020-05-17,2038,1981
Belgium,BEL,2020-05-24,2070,1970
Belgium,BEL,2020-05-31,1973,1931
Belgium,BEL,2020-06-07,1790,1878
Belgium,BEL,2020-06-14,1891,1861
Belgium,BEL,2020-06-21,1810,1923
Belgium,BEL,2020-06-28,1956,1897
Belgium,BEL,2020-07-05,1762,2023
Belgium,BEL,2020-07-12,1673,1862
Belgium,BEL,2020-07-19,1837,1905
Belgium,BEL,2020-07-26,1799,1996
Belgium,BEL,2020-08-02,1934,1885
Belgium,BEL,2020-08-09,2025,1875
Belgium,BEL,2020-08-16,2863,1855
Belgium,BEL,2020-08-23,2184,1902
Belgium,BEL,2020-08-30,1860,1908
Belgium,BEL,2020-09-06,1867,1848
Belgium,BEL,2020-09-13,1790,1864
Belgium,BEL,2020-09-20,1949,1883
Bulgaria,BGR,2020-01-05,2104,2585
Bulgaria,BGR,2020-01-12,2273,2574
Bulgaria,BGR,2020-01-19,2178,2529
Bulgaria,BGR,2020-01-26,2389,2508
Bulgaria,BGR,2020-02-02,2430,2461
Bulgaria,BGR,2020-02-09,2344,2314
Bulgaria,BGR,2020-02-16,2299,2295
Bulgaria,BGR,2020-02-23,2158,2289
Bulgaria,BGR,2020-03-01,2178,2280
Bulgaria,BGR,2020-03-08,2043,2268
Bulgaria,BGR,2020-03-15,2071,2204
Bulgaria,BGR,2020-03-22,2034,2162
Bulgaria,BGR,2020-03-29,2072,2144
Bulgaria,BGR,2020-04-05,2033,2131
Bulgaria,BGR,2020-04-12,2021,2075
Bulgaria,BGR,2020-04-19,2013,2066
Bulgaria,BGR,2020-04-26,1974,2053
Bulgaria,BGR,2020-05-03,1890,2013
Bulgaria,BGR,2020-05-10,1908,2029
Bulgaria,BGR,2020-05-17,2079,1971
Bulgaria,BGR,2020-05-24,1887,1973
Bulgaria,BGR,2020-05-31,1797,1954
Bulgaria,BGR,2020-06-07,1909,1919
Bulgaria,BGR,2020-06-14,1937,1936
Bulgaria,BGR,2020-06-21,1914,1962
Bulgaria,BGR,2020-06-28,1896,1958
Bulgaria,BGR,2020-07-05,2127,1899
Bulgaria,BGR,2020-07-12,2037,1941
Bulgaria,BGR,2020-07-19,1834,1872
Bulgaria,BGR,2020-07-26,1970,1973
Bulgaria,BGR,2020-08-02,2146,1962
Bulgaria,BGR,2020-08-09,2045,1934
Bulgaria,BGR,2020-08-16,1958,1860
Bulgaria,BGR,2020-08-23,1893,1833
Bulgaria,BGR,2020-08-30,1918,1820
Bulgaria,BGR,2020-09-06,1931,1814
Bulgaria,BGR,2020-09-13,1893,1818
Bulgaria,BGR,2020-09-20,1829,1812
Bulgaria,BGR,2020-09-27,1802,1804
Croatia,HRV,2020-01-05,1012,1208
Croatia,HRV,2020-01-12,1048,1258
Croatia,HRV,2020-01-19,1028,1253
Croatia,HRV,2020-01-26,1107,1234
Croatia,HRV,2020-02-02,1092,1195
Croatia,HRV,2020-02-09,1102,1160
Croatia,HRV,2020-02-16,1064,1139
Croatia,HRV,2020-02-23,1057,1116
Croatia,HRV,2020-03-01,1011,1117
Croatia,HRV,2020-03-08,1040,1128
Croatia,HRV,2020-03-15,1091,1092
Croatia,HRV,2020-03-22,1082,1064
Croatia,HRV,2020-03-29,1123,1038
Croatia,HRV,2020-04-05,1013,1046
Croatia,HRV,2020-04-12,1009,996
Croatia,HRV,2020-04-19,977,963
Croatia,HRV,2020-04-26,880,1013
Croatia,HRV,2020-05-03,922,970
Croatia,HRV,2020-05-10,851,948
Croatia,HRV,2020-05-17,924,941
Croatia,HRV,2020-05-24,890,945
Croatia,HRV,2020-05-31,881,929
Croatia,HRV,2020-06-07,921,950
Croatia,HRV,2020-06-14,987,941
Croatia,HRV,2020-06-21,892,922
Croatia,HRV,2020-06-28,900,913
Croatia,HRV,2020-07-05,992,952
Croatia,HRV,2020-07-12,912,949
Croatia,HRV,2020-07-19,882,955
Croatia,HRV,2020-07-26,951,987
Czech Republic,CZE,2020-01-05,2300,2365
Czech Republic,CZE,2020-01-12,2313,2343
Czech Republic,CZE,2020-01-19,2238,2389
Czech Republic,CZE,2020-01-26,2328,2386
Czech Republic,CZE,2020-02-02,2357,2406
Czech Republic,CZE,2020-02-09,2348,2466
Czech Republic,CZE,2020-02-16,2385,2499
Czech Republic,CZE,2020-02-23,2342,2501
Czech Republic,CZE,2020-03-01,2350,2466
Czech Republic,CZE,2020-03-08,2283,2411
Czech Republic,CZE,2020-03-15,2295,2331
Czech Republic,CZE,2020-03-22,2319,2266
Czech Republic,CZE,2020-03-29,2287,2199
Czech Republic,CZE,2020-04-05,2314,2162
Czech Republic,CZE,2020-04-12,2236,2116
Czech Republic,CZE,2020-04-19,2116,2066
Czech Republic,CZE,2020-04-26,2026,2110
Czech Republic,CZE,2020-05-03,2107,2027
Czech Republic,CZE,2020-05-10,1990,2023
Czech Republic,CZE,2020-05-17,2026,1982
Czech Republic,CZE,2020-05-24,1905,1987
Czech Republic,CZE,2020-05-31,1926,2038
Czech Republic,CZE,2020-06-07,2124,1956
Czech Republic,CZE,2020-06-14,1976,1957
Czech Republic,CZE,2020-06-21,2019,1948
Czech Republic,CZE,2020-06-28,2067,1961
Czech Republic,CZE,2020-07-05,2098,1983
Czech Republic,CZE,2020-07-12,1984,1988
Czech Republic,CZE,2020-07-19,1972,1994
Czech Republic,CZE,2020-07-26,2065,2029
Czech Republic,CZE,2020-08-02,2207,2036
Czech Republic,CZE,2020-08-09,2112,2020
Czech Republic,CZE,2020-08-16,2096,2056
Denmark,DNK,2020-01-05,1116,1121
Denmark,DNK,2020-01-12,1149,1115
Denmark,DNK,2020-01-19,1070,1102
Denmark,DNK,2020-01-26,1026,1100
Denmark,DNK,2020-02-02,1087,1149
Denmark,DNK,2020-02-09,1078,1139
Denmark,DNK,2020-02-16,1057,1167
Denmark,DNK,2020-02-23,1035,1156
Denmark,DNK,2020-03-01,1022,1182
Denmark,DNK,2020-03-08,1061,1170
Denmark,DNK,2020-03-15,1064,1158
Denmark,DNK,2020-03-22,1138,1122
Denmark,DNK,2020-03-29,1110,1085
Denmark,DNK,2020-04-05,1153,1056
Denmark,DNK,2020-04-12,1142,1069
Denmark,DNK,2020-04-19,1075,1025
Denmark,DNK,2020-04-26,1082,983
Denmark,DNK,2020-05-03,1044,1035
Denmark,DNK,2020-05-10,1024,1014
Denmark,DNK,2020-05-17,950,973
Denmark,DNK,2020-05-24,993,968
Denmark,DNK,2020-05-31,964,969
Denmark,DNK,2020-06-07,958,971
Denmark,DNK,2020-06-14,998,974
Denmark,DNK,2020-06-21,947,970
Denmark,DNK,2020-06-28,977,930
Denmark,DNK,2020-07-05,995,943
Denmark,DNK,2020-07-12,956,943
Denmark,DNK,2020-07-19,1024,958
Denmark,DNK,2020-07-26,940,979
Denmark,DNK,2020-08-02,982,966
Denmark,DNK,2020-08-09,955,956
Denmark,DNK,2020-08-16,990,944
Denmark,DNK,2020-08-23,988,969
Denmark,DNK,2020-08-30,949,941
Denmark,DNK,2020-09-06,984,942
Denmark,DNK,2020-09-13,972,950
Denmark,DNK,2020-09-20,1076,965
Denmark,DNK,2020-09-27,949,979
England & Wales,,2020-01-05,12253,12199
England & Wales,,2020-01-12,14057,13822
England & Wales,,2020-01-19,12990,13212
England & Wales,,2020-01-26,11853,12760
England & Wales,,2020-02-02,11612,12202
England & Wales,,2020-02-09,10984,11921
England & Wales,,2020-02-16,10948,11625
England & Wales,,2020-02-23,10840,11544
England & Wales,,2020-03-01,10815,11179
England & Wales,,2020-03-08,10892,11489
England & Wales,,2020-03-15,11017,11203
England & Wales,,2020-03-22,10646,10567
England & Wales,,2020-03-29,11142,10122
England & Wales,,2020-04-05,16387,10304
England & Wales,,2020-04-12,18516,10517
England & Wales,,2020-04-19,22351,10490
England & Wales,,2020-04-26,21997,10456
England & Wales,,2020-05-03,17953,9934
England & Wales,,2020-05-10,12657,9573
England & Wales,,2020-05-17,14573,10189
England & Wales,,2020-05-24,12288,9938
England & Wales,,2020-05-31,9824,8172
England & Wales,,2020-06-07,10709,9974
England & Wales,,2020-06-14,9976,9416
England & Wales,,2020-06-21,9339,9402
England & Wales,,2020-06-28,8979,9293
England & Wales,,2020-07-05,9140,9184
England & Wales,,2020-07-12,8690,9250
England & Wales,,2020-07-19,8823,9092
England & Wales,,2020-07-26,8891,9051
England & Wales,,2020-08-02,8946,9032
England & Wales,,2020-08-09,8945,9100
England & Wales,,2020-08-16,9392,9087
England & Wales,,2020-08-23,9631,9159
England & Wales,,2020-08-30,9032,8239
England & Wales,,2020-09-06,7739,9182
England & Wales,,2020-09-13,9811,9307
England & Wales,,2020-09-20,9522,9264
England & Wales,,2020-09-27,9634,9375
Estonia,EST,2020-01-05,295,344
Estonia,EST,2020-01-12,331,345
Estonia,EST,2020-01-19,316,331
Estonia,EST,2020-01-26,300,336
Estonia,EST,2020-02-02,308,340
Estonia,EST,2020-02-09,275,341
Estonia,EST,2020-02-16,322,322
Estonia,EST,2020-02-23,334,339
Estonia,EST,2020-03-01,313,333
Estonia,EST,2020-03-08,293,334
Estonia,EST,2020-03-15,340,324
Estonia,EST,2020-03-22,312,312
Estonia,EST,2020-03-29,328,317
Estonia,EST,2020-04-05,312,299
Estonia,EST,2020-04-12,315,304
Estonia,EST,2020-04-19,311,299
Estonia,EST,2020-04-26,326,285
Estonia,EST,2020-05-03,306,289
Estonia,EST,2020-05-10,316,288
Estonia,EST,2020-05-17,289,305
Estonia,EST,2020-05-24,278,287
Estonia,EST,2020-05-31,301,274
Estonia,EST,2020-06-07,271,280
Estonia,EST,2020-06-14,279,269
Estonia,EST,2020-06-21,276,272
Estonia,EST,2020-06-28,291,263
Estonia,EST,2020-07-05,271,262
Estonia,EST,2020-07-12,274,265
Estonia,EST,2020-07-19,282,270
Estonia,EST,2020-07-26,297,281
Estonia,EST,2020-08-02,306,268
Estonia,EST,2020-08-09,292,286
Estonia,EST,2020-08-16,293,278
Estonia,EST,2020-08-23,261,264
Estonia,EST,2020-08-30,299,272
Estonia,EST,2020-09-06,278,266
Estonia,EST,2020-09-13,255,273
Estonia,EST,2020-09-20,308,282
Estonia,EST,2020-09-27,321,287
Finland,FIN,2020-01-05,1045,1165
Finland,FIN,2020-01-12,1068,1180
Finland,FIN,2020-01-19,1059,1172
Finland,FIN,2020-01-26,1038,1127
Finland,FIN,2020-02-02,1073,1138
Finland,FIN,2020-02-09,1115,1123
Finland,FIN,2020-02-16,1098,1099
Finland,FIN,2020-02-23,1090,1095
Finland,FIN,2020-03-01,1049,1120
Finland,FIN,2020-03-08,1104,1103
Finland,FIN,2020-03-15,1105,1103
Finland,FIN,2020-03-22,1122,1088
Finland,FIN,2020-03-29,1108,1064
Finland,FIN,2020-04-05,1107,1077
Finland,FIN,2020-04-12,1180,1047
Finland,FIN,2020-04-19,1094,1058
Finland,FIN,2020-04-26,1140,1015
Finland,FIN,2020-05-03,1128,1038
Finland,FIN,2020-05-10,1073,991
Finland,FIN,2020-05-17,1101,971
Finland,FIN,2020-05-24,957,959
Finland,FIN,2020-05-31,989,950
Finland,FIN,2020-06-07,981,966
Finland,FIN,2020-06-14,999,950
Finland,FIN,2020-06-21,1066,967
Finland,FIN,2020-06-28,1015,951
Finland,FIN,2020-07-05,993,946
Finland,FIN,2020-07-12,939,943
Finland,FIN,2020-07-19,1020,960
Finland,FIN,2020-07-26,962,973
Finland,FIN,2020-08-02,978,939
Finland,FIN,2020-08-09,946,925
Finland,FIN,2020-08-16,969,950
Finland,FIN,2020-08-23,1008,959
Finland,FIN,2020-08-30,975,963
Finland,FIN,2020-09-06,967,967
Finland,FIN,2020-09-13,1072,965
Finland,FIN,2020-09-20,945,987
France,FRA,2020-01-05,12722,13445
France,FRA,2020-01-12,13191,13563
France,FRA,2020-01-19,12588,13210
France,FRA,2020-01-26,12325,13071
France,FRA,2020-02-02,12526,13071
France,FRA,2020-02-09,12401,13190
France,FRA,2020-02-16,12250,13024
France,FRA,2020-02-23,11822,12893
France,FRA,2020-03-01,12036,12922
France,FRA,2020-03-08,12130,12623
France,FRA,2020-03-15,12535,12037
France,FRA,2020-03-22,13923,11745
France,FRA,2020-03-29,16173,11642
France,FRA,2020-04-05,18787,11380
France,FRA,2020-04-12,17544,11174
France,FRA,2020-04-19,15376,11028
France,FRA,2020-04-26,12807,10917
France,FRA,2020-05-03,11242,10777
France,FRA,2020-05-10,11013,10639
France,FRA,2020-05-17,10727,10533
France,FRA,2020-05-24,11102,10531
France,FRA,2020-05-31,10401,10266
France,FRA,2020-06-07,10360,10207
France,FRA,2020-06-14,10330,10093
France,FRA,2020-06-21,10392,10365
France,FRA,2020-06-28,11072,10386
France,FRA,2020-07-05,9963,10747
France,FRA,2020-07-12,10240,10219
France,FRA,2020-07-19,10042,10445
France,FRA,2020-07-26,10435,10437
France,FRA,2020-08-02,10653,10157
France,FRA,2020-08-09,10392,10259
France,FRA,2020-08-16,11129,10023
Germany,DEU,2020-01-05,18888,19353
Germany,DEU,2020-01-12,19418,19612
Germany,DEU,2020-01-19,19157,19553
Germany,DEU,2020-01-26,18925,19866
Germany,DEU,2020-02-02,19775,20376
Germany,DEU,2020-02-09,19009,20338
Germany,DEU,2020-02-16,19607,20642
Germany,DEU,2020-02-23,18915,20994
Germany,DEU,2020-03-01,19457,21545
Germany,DEU,2020-03-08,19616,21305
Germany,DEU,2020-03-15,19852,20454
Germany,DEU,2020-03-22,19710,19565
Germany,DEU,2020-03-29,19675,18954
Germany,DEU,2020-04-05,20617,18495
Germany,DEU,2020-04-12,20479,17908
Germany,DEU,2020-04-19,19247,17373
Germany,DEU,2020-04-26,18521,17418
Germany,DEU,2020-05-03,17874,16977
Germany,DEU,2020-05-10,17596,17329
Germany,DEU,2020-05-17,16944,16871
Germany,DEU,2020-05-24,17125,16582
Germany,DEU,2020-05-31,16716,16802
Germany,DEU,2020-06-07,17219,16462
Germany,DEU,2020-06-14,16538,15968
Germany,DEU,2020-06-21,16342,16553
Germany,DEU,2020-06-28,17218,16566
Germany,DEU,2020-07-05,16381,16457
Germany,DEU,2020-07-12,16063,16041
Germany,DEU,2020-07-19,16426,16783
Germany,DEU,2020-07-26,16795,17546
Germany,DEU,2020-08-02,17269,17334
Germany,DEU,2020-08-09,17318,16572
Germany,DEU,2020-08-16,19450,16308
Germany,DEU,2020-08-23,17303,16476
Germany,DEU,2020-08-30,16340,16450
Germany,DEU,2020-09-06,16308,16050
Greece,GRC,2020-01-05,2748,2825
Greece,GRC,2020-01-12,2921,2969
Greece,GRC,2020-01-19,2863,2837
Greece,GRC,2020-01-26,2774,2786
Greece,GRC,2020-02-02,2989,2787
Greece,GRC,2020-02-09,2848,2678
Greece,GRC,2020-02-16,2782,2536
Greece,GRC,2020-02-23,2468,2473
Greece,GRC,2020-03-01,2544,2479
Greece,GRC,2020-03-08,2645,2426
Greece,GRC,2020-03-15,2594,2396
Greece,GRC,2020-03-22,2547,2341
Greece,GRC,2020-03-29,2438,2302
Greece,GRC,2020-04-05,2450,2348
Greece,GRC,2020-04-12,2361,2313
Greece,GRC,2020-04-19,2267,2252
Greece,GRC,2020-04-26,2202,2246
Greece,GRC,2020-05-03,2306,2274
Greece,GRC,2020-05-10,2125,2168
Greece,GRC,2020-05-17,2473,2133
Greece,GRC,2020-05-24,2328,2068
Greece,GRC,2020-05-31,1961,2229
Greece,GRC,2020-06-07,2102,2177
Greece,GRC,2020-06-14,2209,2262
Greece,GRC,2020-06-21,2349,2385
Greece,GRC,2020-06-28,2175,2378
Hungary,HUN,2020-01-05,2609,2885
Hungary,HUN,2020-01-12,2584,2918
Hungary,HUN,2020-01-19,2582,2925
Hungary,HUN,2020-01-26,2720,3017
Hungary,HUN,2020-02-02,2799,3056
Hungary,HUN,2020-02-09,2634,3068
Hungary,HUN,2020-02-16,2749,2983
Hungary,HUN,2020-02-23,2586,2956
Hungary,HUN,2020-03-01,2781,2894
Hungary,HUN,2020-03-08,2605,2812
Hungary,HUN,2020-03-15,2577,2709
Hungary,HUN,2020-03-22,2800,2635
Hungary,HUN,2020-03-29,2590,2592
Hungary,HUN,2020-04-05,2525,2511
Hungary,HUN,2020-04-12,2573,2478
Hungary,HUN,2020-04-19,2508,2430
Hungary,HUN,2020-04-26,2356,2437
Hungary,HUN,2020-05-03,2249,2367
Hungary,HUN,2020-05-10,2293,2315
Hungary,HUN,2020-05-17,2343,2272
Hungary,HUN,2020-05-24,2109,2276
Hungary,HUN,2020-05-31,2191,2287
Hungary,HUN,2020-06-07,2397,2262
Hungary,HUN,2020-06-14,2284,2292
Hungary,HUN,2020-06-21,2069,2250
Hungary,HUN,2020-06-28,2261,2193
Hungary,HUN,2020-07-05,2311,2219
Hungary,HUN,2020-07-12,2159,2281
Hungary,HUN,2020-07-19,2104,2279
Hungary,HUN,2020-07-26,2136,2380
Hungary,HUN,2020-08-02,2325,2309
Hungary,HUN,2020-08-09,2264,2285
Hungary,HUN,2020-08-16,2213,2307
Hungary,HUN,2020-08-23,2156,2191
Hungary,HUN,2020-08-30,2146,2294
Hungary,HUN,2020-09-06,2169,2224
Iceland,ISL,2020-01-05,57,46
Iceland,ISL,2020-01-12,55,48
Iceland,ISL,2020-01-19,52,44
Iceland,ISL,2020-01-26,55,45
Iceland,ISL,2020-02-02,39,46
Iceland,ISL,2020-02-16,49,47
Iceland,ISL,2020-02-23,48,46
Iceland,ISL,2020-03-08,49,44
Iceland,ISL,2020-03-22,39,42
Iceland,ISL,2020-03-29,42,47
Iceland,ISL,2020-04-05,50,43
Iceland,ISL,2020-04-12,49,44
Iceland,ISL,2020-04-19,60,49
Iceland,ISL,2020-05-03,43,40
Iceland,ISL,2020-05-10,37,42
Iceland,ISL,2020-05-24,50,44
Iceland,ISL,2020-05-31,50,43
Iceland,ISL,2020-06-14,39,40
Iceland,ISL,2020-06-21,30,37
Iceland,ISL,2020-06-28,34,47
Iceland,ISL,2020-07-05,35,43
Iceland,ISL,2020-07-12,46,38
Iceland,ISL,2020-07-19,42,39
Iceland,ISL,2020-07-26,35,45
Iceland,ISL,2020-08-02,35,36
Iceland,ISL,2020-08-16,36,39
Israel,ISR,2020-01-05,1091,1011
Israel,ISR,2020-01-12,1010,1054
Israel,ISR,2020-01-19,1099,1033
Israel,ISR,2020-01-26,1000,1049
Israel,ISR,2020-02-02,991,1056
Israel,ISR,2020-02-09,944,1052
Israel,ISR,2020-02-16,965,988
Israel,ISR,2020-02-23,988,984
Israel,ISR,2020-03-01,903,961
Israel,ISR,2020-03-08,929,940
Israel,ISR,2020-03-15,964,922
Israel,ISR,2020-03-22,892,863
Israel,ISR,2020-03-29,980,889
Israel,ISR,2020-04-05,1029,869
Israel,ISR,2020-04-12,877,836
Israel,ISR,2020-04-19,928,825
Israel,ISR,2020-04-26,898,852
Israel,ISR,2020-05-03,830,816
Israel,ISR,2020-05-10,857,817
Israel,ISR,2020-05-17,846,801
Israel,ISR,2020-05-24,960,799
Israel,ISR,2020-05-31,835,788
Israel,ISR,2020-06-07,806,774
Israel,ISR,2020-06-14,784,753
Israel,ISR,2020-06-21,790,764
Israel,ISR,2020-06-28,778,759
Israel,ISR,2020-07-05,774,770
Israel,ISR,2020-07-12,837,758
Israel,ISR,2020-07-19,829,757
Israel,ISR,2020-07-26,812,790
Israel,ISR,2020-08-02,931,765
Israel,ISR,2020-08-09,848,784
Israel,ISR,2020-08-16,935,767
Israel,ISR,2020-08-23,890,775
Israel,ISR,2020-08-30,870,778
Israel,ISR,2020-09-06,809,769
Italy,ITA,2020-01-05,12707,14455
Italy,ITA,2020-01-12,13227,14690
Italy,ITA,2020-01-19,13303,14452
Italy,ITA,2020-01-26,13261,13959
Italy,ITA,2020-02-02,13128,13866
Italy,ITA,2020-02-09,12839,13428
Italy,ITA,2020-02-16,12896,13258
Italy,ITA,2020-02-23,12544,13020
Italy,ITA,2020-03-01,13011,12953
Italy,ITA,2020-03-08,14029,12667
Italy,ITA,2020-03-15,17499,12335
Italy,ITA,2020-03-22,21103,11857
Italy,ITA,2020-03-29,22448,11818
Italy,ITA,2020-04-05,19640,11608
Italy,ITA,2020-04-12,17724,11380
Italy,ITA,2020-04-19,15553,11225
Italy,ITA,2020-04-26,13643,11036
Italy,ITA,2020-05-03,12257,10888
Italy,ITA,2020-05-10,11676,10883
Italy,ITA,2020-05-17,11057,10608
Italy,ITA,2020-05-24,10510,10692
Italy,ITA,2020-05-31,10021,10458
Italy,ITA,2020-06-07,10093,10728
Italy,ITA,2020-06-14,9589,10627
Italy,ITA,2020-06-21,9899,10524
Italy,ITA,2020-06-28,10603,10581
Latvia,LVA,2020-01-05,597,612
Latvia,LVA,2020-01-12,587,619
Latvia,LVA,2020-01-19,538,631
Latvia,LVA,2020-01-26,553,615
Latvia,LVA,2020-02-02,550,606
Latvia,LVA,2020-02-09,532,588
Latvia,LVA,2020-02-16,544,606
Latvia,LVA,2020-02-23,545,625
Latvia,LVA,2020-03-01,447,629
Latvia,LVA,2020-03-08,481,620
Latvia,LVA,2020-03-15,513,594
Latvia,LVA,2020-03-22,566,604
Latvia,LVA,2020-03-29,529,596
Latvia,LVA,2020-04-05,561,583
Latvia,LVA,2020-04-12,491,575
Latvia,LVA,2020-04-19,573,552
Latvia,LVA,2020-04-26,533,546
Latvia,LVA,2020-05-03,533,511
Latvia,LVA,2020-05-10,578,541
Latvia,LVA,2020-05-17,521,531
Latvia,LVA,2020-05-24,557,522
Latvia,LVA,2020-05-31,505,526
Latvia,LVA,2020-06-07,504,503
Latvia,LVA,2020-06-14,528,481
Latvia,LVA,2020-06-21,499,529
Latvia,LVA,2020-06-28,479,500
Latvia,LVA,2020-07-05,605,496
Latvia,LVA,2020-07-12,468,507
Latvia,LVA,2020-07-19,503,531
Latvia,LVA,2020-07-26,494,497
Latvia,LVA,2020-08-02,499,495
Latvia,LVA,2020-08-09,463,478
Latvia,LVA,2020-08-16,511,494
Latvia,LVA,2020-08-23,549,496
Latvia,LVA,2020-08-30,504,481
Latvia,LVA,2020-09-06,459,476
Latvia,LVA,2020-09-13,490,503
Latvia,LVA,2020-09-20,496,505
Latvia,LVA,2020-09-27,480,530
Latvia,LVA,2020-10-04,562,537
Lithuania,LTU,2020-01-05,808,863
Lithuania,LTU,2020-01-12,800,874
Lithuania,LTU,2020-01-19,787,920
Lithuania,LTU,2020-01-26,784,911
Lithuania,LTU,2020-02-02,762,912
Lithuania,LTU,2020-02-09,764,900
Lithuania,LTU,2020-02-16,809,876
Lithuania,LTU,2020-02-23,707,896
Lithuania,LTU,2020-03-01,806,865
Lithuania,LTU,2020-03-08,773,841
Lithuania,LTU,2020-03-15,773,819
Lithuania,LTU,2020-03-22,802,804
Lithuania,LTU,2020-03-29,815,786
Lithuania,LTU,2020-04-05,774,796
Lithuania,LTU,2020-04-12,802,789
Lithuania,LTU,2020-04-19,783,785
Lithuania,LTU,2020-04-26,785,763
Lithuania,LTU,2020-05-03,769,749
Lithuania,LTU,2020-05-10,717,763
Lithuania,LTU,2020-05-17,732,736
Lithuania,LTU,2020-05-24,715,776
Lithuania,LTU,2020-05-31,745,750
Lithuania,LTU,2020-06-07,734,742
Lithuania,LTU,2020-06-14,818,712
Lithuania,LTU,2020-06-21,760,711
Lithuania,LTU,2020-06-28,808,729
Lithuania,LTU,2020-07-05,688,697
Lithuania,LTU,2020-07-12,700,702
Lithuania,LTU,2020-07-19,760,705
Lithuania,LTU,2020-07-26,744,739
Lithuania,LTU,2020-08-02,713,696
Lithuania,LTU,2020-08-09,726,719
Lithuania,LTU,2020-08-16,743,697
Lithuania,LTU,2020-08-23,764,677
Lithuania,LTU,2020-08-30,708,701
Lithuania,LTU,2020-09-06,664,677
Lithuania,LTU,2020-09-13,715,653
Lithuania,LTU,2020-09-20,710,696
Lithuania,LTU,2020-09-27,776,716
Luxembourg,LUX,2020-01-05,63,87
Luxembourg,LUX,2020-01-12,87,95
Luxembourg,LUX,2020-01-19,90,87
Luxembourg,LUX,2020-01-26,87,89
Luxembourg,LUX,2020-02-02,88,97
Luxembourg,LUX,2020-02-09,90,97
Luxembourg,LUX,2020-02-16,69,97
Luxembourg,LUX,2020-03-01,74,88
Luxembourg,LUX,2020-03-15,91,82
Luxembourg,LUX,2020-03-22,89,86
Luxembourg,LUX,2020-03-29,112,86
Luxembourg,LUX,2020-04-05,90,84
Luxembourg,LUX,2020-04-12,116,72
Luxembourg,LUX,2020-04-19,89,79
Luxembourg,LUX,2020-04-26,84,74
Luxembourg,LUX,2020-05-03,69,72
Luxembourg,LUX,2020-05-10,89,70
Luxembourg,LUX,2020-05-17,77,71
Luxembourg,LUX,2020-05-24,78,76
Luxembourg,LUX,2020-06-07,73,74
Luxembourg,LUX,2020-06-14,69,75
Luxembourg,LUX,2020-06-21,78,67
Luxembourg,LUX,2020-06-28,68,69
Luxembourg,LUX,2020-07-05,71,75
Luxembourg,LUX,2020-07-12,73,80
Luxembourg,LUX,2020-07-19,72,72
Luxembourg,LUX,2020-08-02,89,75
Luxembourg,LUX,2020-08-09,94,75
Luxembourg,LUX,2020-08-16,100,74
Luxembourg,LUX,2020-08-23,74,67
Luxembourg,LUX,2020-08-30,61,76
