Entity,Code,Date,"Excess mortality P-scores, ages 15–64","Excess mortality P-scores, ages 65–74","Excess mortality P-scores, ages 75–84","Excess mortality P-scores, ages 85+"
Czech Republic,CZE,2020-02-23,-14,-14,0,-1
Czech Republic,CZE,2020-03-01,-12,-6,-2,-3
Czech Republic,CZE,2020-03-08,-7,-2,-10,-2
Czech Republic,CZE,2020-03-15,-12,3,1,-1
Czech Republic,CZE,2020-03-22,-5,4,2,6
Czech Republic,CZE,2020-03-29,0,3,9,3
Czech Republic,CZE,2020-04-05,-9,16,15,3
Czech Republic,CZE,2020-04-12,-5,2,12,9
Czech Republic,CZE,2020-04-19,0,0,9,0
Czech Republic,CZE,2020-04-26,-10,-6,-3,0
Czech Republic,CZE,2020-05-03,-8,10,9,1
Czech Republic,CZE,2020-05-10,-13,-1,2,2
Czech Republic,CZE,2020-05-17,3,7,-4,4
Czech Republic,CZE,2020-05-24,-16,-5,2,-3
Czech Republic,CZE,2020-05-31,-24,3,-13,5
Czech Republic,CZE,2020-06-07,-9,12,22,5
Czech Republic,CZE,2020-06-14,-10,0,9,1
Czech Republic,CZE,2020-06-21,-1,8,5,3
Czech Republic,CZE,2020-06-28,-4,6,11,7
Czech Republic,CZE,2020-07-05,-2,5,8,10
Czech Republic,CZE,2020-07-12,-7,-2,6,0
Czech Republic,CZE,2020-07-19,-11,7,0,-2
Czech Republic,CZE,2020-07-26,2,-1,2,3
Czech Republic,CZE,2020-08-02,2,5,13,11
Czech Republic,CZE,2020-08-09,-8,6,15,1
Czech Republic,CZE,2020-08-16,-4,9,3,0
Denmark,DNK,2020-01-05,-12,4,-2,4
Denmark,DNK,2020-01-12,0,3,2,7
Denmark,DNK,2020-01-19,-15,-3,1,-2
Denmark,DNK,2020-01-26,-14,-8,-4,-5
Denmark,DNK,2020-02-02,6,-14,2,-11
Denmark,DNK,2020-02-09,-7,-15,9,-10
Denmark,DNK,2020-02-16,-20,-8,-3,-11
Denmark,DNK,2020-02-23,3,-11,-12,-13
Denmark,DNK,2020-03-01,-23,-6,-14,-13
Denmark,DNK,2020-03-08,-13,-16,-1,-10
Denmark,DNK,2020-03-15,-11,4,-4,-16
Denmark,DNK,2020-03-22,-15,3,14,-2
Denmark,DNK,2020-03-29,-23,9,7,7
Denmark,DNK,2020-04-05,-2,10,29,-1
Denmark,DNK,2020-04-12,-19,16,18,6
Denmark,DNK,2020-04-19,-5,4,13,4
Denmark,DNK,2020-04-26,2,8,23,5
Denmark,DNK,2020-05-03,-20,-10,10,10
Denmark,DNK,2020-05-10,-3,-9,11,0
Denmark,DNK,2020-05-17,-10,-5,4,-2
Denmark,DNK,2020-05-24,-13,0,9,7
Denmark,DNK,2020-05-31,-9,2,9,-5
Denmark,DNK,2020-06-07,-7,-12,7,1
Denmark,DNK,2020-06-14,3,-6,6,5
Denmark,DNK,2020-06-21,-7,-14,7,-1
Denmark,DNK,2020-06-28,-6,-7,21,5
Denmark,DNK,2020-07-05,6,-6,10,9
Denmark,DNK,2020-07-12,-9,-5,8,4
Denmark,DNK,2020-07-19,-4,3,15,8
Denmark,DNK,2020-07-26,-7,-9,3,-6
Denmark,DNK,2020-08-02,3,3,-1,5
Denmark,DNK,2020-08-09,-9,-10,7,4
Denmark,DNK,2020-08-16,5,7,11,-1
Denmark,DNK,2020-08-23,-12,-5,7,8
Denmark,DNK,2020-08-30,-8,-4,9,3
Denmark,DNK,2020-09-06,-19,2,10,14
Denmark,DNK,2020-09-13,-6,-19,11,13
Denmark,DNK,2020-09-20,-8,-5,30,15
Denmark,DNK,2020-09-27,-11,-1,2,-3
England & Wales,,2020-01-05,-8,-4,3,3
England & Wales,,2020-01-12,1,0,3,1
England & Wales,,2020-01-19,8,-2,0,-6
England & Wales,,2020-01-26,-1,-1,-7,-12
England & Wales,,2020-02-02,0,2,-5,-9
England & Wales,,2020-02-09,-2,-5,-8,-10
England & Wales,,2020-02-16,-4,-5,-9,-5
England & Wales,,2020-02-23,-1,-3,-6,-9
England & Wales,,2020-03-01,1,0,-6,-4
England & Wales,,2020-03-08,-2,-4,-4,-8
England & Wales,,2020-03-15,4,-2,-1,-4
England & Wales,,2020-03-22,1,4,2,-1
England & Wales,,2020-03-29,9,10,12,10
England & Wales,,2020-04-05,47,62,72,54
England & Wales,,2020-04-12,62,68,89,77
England & Wales,,2020-04-19,71,97,123,130
England & Wales,,2020-04-26,72,87,119,130
England & Wales,,2020-05-03,50,58,81,104
England & Wales,,2020-05-10,13,20,33,45
England & Wales,,2020-05-17,23,27,45,57
England & Wales,,2020-05-24,20,11,23,32
England & Wales,,2020-05-31,11,10,22,28
England & Wales,,2020-06-07,5,7,10,7
England & Wales,,2020-06-14,7,6,7,5
England & Wales,,2020-06-21,1,2,1,-4
England & Wales,,2020-06-28,-6,-3,-1,-4
England & Wales,,2020-07-05,2,1,1,-3
England & Wales,,2020-07-12,-4,-4,-4,-10
England & Wales,,2020-07-19,2,1,0,-8
England & Wales,,2020-07-26,4,-3,-2,-3
England & Wales,,2020-08-02,6,3,-1,-6
England & Wales,,2020-08-09,7,-5,-1,-4
England & Wales,,2020-08-16,1,2,6,3
England & Wales,,2020-08-23,12,0,8,3
England & Wales,,2020-08-30,19,8,12,5
England & Wales,,2020-09-06,-11,-11,-14,-20
England & Wales,,2020-09-13,4,8,7,5
England & Wales,,2020-09-20,9,2,5,0
England & Wales,,2020-09-27,10,2,4,0
Estonia,EST,2020-01-05,-10,-20,-33,4
Estonia,EST,2020-01-12,10,6,-18,-6
Estonia,EST,2020-01-19,2,-31,4,-1
Estonia,EST,2020-01-26,-9,-15,-22,2
Estonia,EST,2020-02-02,4,-15,-14,-8
Estonia,EST,2020-02-09,-14,-41,-22,-7
Estonia,EST,2020-02-16,-19,-10,5,13
Estonia,EST,2020-02-23,3,-13,6,-3
Estonia,EST,2020-03-01,9,-6,-16,-6
Estonia,EST,2020-03-08,-4,-15,-15,-14
Estonia,EST,2020-03-15,-4,38,-14,9
Estonia,EST,2020-03-22,0,24,-5,-5
Estonia,EST,2020-03-29,11,5,7,-5
Estonia,EST,2020-04-05,-12,20,-15,23
Estonia,EST,2020-04-12,-7,35,-12,10
Estonia,EST,2020-04-19,15,14,-6,0
Estonia,EST,2020-04-26,30,1,-4,33
Estonia,EST,2020-05-03,11,21,5,-5
Estonia,EST,2020-05-10,24,1,24,-4
Estonia,EST,2020-05-17,2,-7,-17,1
Estonia,EST,2020-05-24,3,16,-17,-3
Estonia,EST,2020-05-31,-2,-2,3,33
Estonia,EST,2020-06-07,-3,-23,12,-6
Estonia,EST,2020-06-14,10,-5,17,-7
Estonia,EST,2020-06-21,-5,12,-17,18
Estonia,EST,2020-06-28,1,29,-7,27
Estonia,EST,2020-07-05,32,10,-28,13
Estonia,EST,2020-07-12,10,-3,-12,19
Estonia,EST,2020-07-19,-25,5,15,14
Estonia,EST,2020-07-26,10,-12,4,14
Estonia,EST,2020-08-02,11,24,-5,29
Estonia,EST,2020-08-09,4,18,-17,11
Estonia,EST,2020-08-16,0,-6,18,4
Estonia,EST,2020-08-23,-9,1,-5,9
Estonia,EST,2020-08-30,-19,6,22,22
Estonia,EST,2020-09-06,29,-7,-16,14
Estonia,EST,2020-09-13,-7,-4,-17,3
Estonia,EST,2020-09-20,19,21,-17,23
Estonia,EST,2020-09-27,3,13,-3,31
Finland,FIN,2020-01-05,-16,-2,-20,-4
Finland,FIN,2020-01-12,-17,-5,-8,-10
Finland,FIN,2020-01-19,-13,-8,-16,-5
Finland,FIN,2020-01-26,-9,11,-9,-15
Finland,FIN,2020-02-02,-13,-3,-9,-2
Finland,FIN,2020-02-09,-5,20,-1,-7
Finland,FIN,2020-02-16,-12,-4,14,-3
Finland,FIN,2020-02-23,-10,-1,-9,9
Finland,FIN,2020-03-01,-11,5,-8,-8
Finland,FIN,2020-03-08,-17,6,4,2
Finland,FIN,2020-03-15,4,5,-6,1
Finland,FIN,2020-03-22,-2,11,0,3
Finland,FIN,2020-03-29,-8,11,9,2
Finland,FIN,2020-04-05,-12,2,8,4
Finland,FIN,2020-04-12,1,25,14,11
Finland,FIN,2020-04-19,1,-8,22,-3
Finland,FIN,2020-04-26,-10,14,13,21
Finland,FIN,2020-05-03,-7,7,9,16
Finland,FIN,2020-05-10,-7,20,9,8
Finland,FIN,2020-05-17,2,26,10,15
Finland,FIN,2020-05-24,2,15,-15,3
Finland,FIN,2020-05-31,-3,13,1,6
Finland,FIN,2020-06-07,-11,11,3,1
Finland,FIN,2020-06-14,-2,17,7,0
Finland,FIN,2020-06-21,1,8,11,15
Finland,FIN,2020-06-28,-6,25,3,6
Finland,FIN,2020-07-05,-23,0,8,18
Finland,FIN,2020-07-12,12,-4,0,-3
Finland,FIN,2020-07-19,4,2,11,5
Finland,FIN,2020-07-26,-1,12,-7,-4
Finland,FIN,2020-08-02,3,9,3,2
Finland,FIN,2020-08-09,-12,11,2,4
Finland,FIN,2020-08-16,6,0,-3,5
Finland,FIN,2020-08-23,13,1,5,4
Finland,FIN,2020-08-30,0,0,4,1
Finland,FIN,2020-09-06,-16,7,-11,12
Finland,FIN,2020-09-13,8,19,7,12
Finland,FIN,2020-09-20,-10,-11,4,-5
France,FRA,2020-01-05,-4,6,-13,-5
France,FRA,2020-01-12,-7,14,-11,-2
France,FRA,2020-01-19,-6,4,-11,-4
France,FRA,2020-01-26,-8,5,-10,-6
France,FRA,2020-02-02,-4,6,-13,-3
France,FRA,2020-02-09,-9,6,-10,-7
France,FRA,2020-02-16,-7,3,-9,-7
France,FRA,2020-02-23,-9,2,-15,-8
France,FRA,2020-03-01,-9,9,-15,-7
France,FRA,2020-03-08,-1,2,-6,-5
France,FRA,2020-03-15,-3,16,-3,7
France,FRA,2020-03-22,3,31,19,20
France,FRA,2020-03-29,11,48,44,44
France,FRA,2020-04-05,22,60,67,83
France,FRA,2020-04-12,12,50,56,77
France,FRA,2020-04-19,4,33,36,57
France,FRA,2020-04-26,-2,22,11,27
France,FRA,2020-05-03,-8,11,-1,10
France,FRA,2020-05-10,-8,13,-3,9
France,FRA,2020-05-17,-3,10,-6,5
France,FRA,2020-05-24,2,11,-2,10
France,FRA,2020-05-31,-1,6,-4,3
France,FRA,2020-06-07,-8,8,-4,6
France,FRA,2020-06-14,-3,11,-3,5
France,FRA,2020-06-21,-13,6,-1,4
France,FRA,2020-06-28,-4,15,-1,12
France,FRA,2020-07-05,-12,5,-13,-6
France,FRA,2020-07-12,-8,4,-4,5
France,FRA,2020-07-19,-10,6,-9,-2
France,FRA,2020-07-26,-7,12,-5,1
France,FRA,2020-08-02,-6,10,2,9
France,FRA,2020-08-09,-7,14,-4,3
France,FRA,2020-08-16,0,21,6,15
Germany,DEU,2020-01-05,-3,-6,-2,-1
Germany,DEU,2020-01-12,-2,-2,-2,1
Germany,DEU,2020-01-19,1,-4,-3,-2
Germany,DEU,2020-01-26,-6,0,-4,-6
Germany,DEU,2020-02-02,-3,-1,-2,-5
Germany,DEU,2020-02-09,-5,-5,-8,-7
Germany,DEU,2020-02-16,-4,-6,-4,-6
Germany,DEU,2020-02-23,-8,-7,-8,-14
Germany,DEU,2020-03-01,-9,-11,-9,-10
Germany,DEU,2020-03-08,-9,-7,-10,-6
Germany,DEU,2020-03-15,-5,0,-4,-3
Germany,DEU,2020-03-22,-1,3,0,1
Germany,DEU,2020-03-29,1,5,3,5
Germany,DEU,2020-04-05,2,10,13,15
Germany,DEU,2020-04-12,4,11,14,20
Germany,DEU,2020-04-19,1,7,11,17
Germany,DEU,2020-04-26,-1,3,7,10
Germany,DEU,2020-05-03,0,4,6,8
Germany,DEU,2020-05-10,-1,-1,-1,6
Germany,DEU,2020-05-17,2,2,-2,2
Germany,DEU,2020-05-24,0,3,0,8
Germany,DEU,2020-05-31,1,0,-3,1
Germany,DEU,2020-06-07,-2,5,1,11
Germany,DEU,2020-06-14,0,2,1,8
Germany,DEU,2020-06-21,-5,1,-4,2
Germany,DEU,2020-06-28,-1,6,0,9
Germany,DEU,2020-07-05,1,0,-3,2
Germany,DEU,2020-07-12,-2,-3,-1,3
Germany,DEU,2020-07-19,-3,-4,-2,-1
Germany,DEU,2020-07-26,-5,-4,-6,-3
Germany,DEU,2020-08-02,-2,-3,-3,3
Germany,DEU,2020-08-09,-2,4,1,10
Germany,DEU,2020-08-16,10,15,18,27
Germany,DEU,2020-08-23,-5,5,2,12
Germany,DEU,2020-08-30,-8,-4,-4,6
Germany,DEU,2020-09-06,-4,2,-1,6
Greece,GRC,2020-01-05,2,9,-15,1
Greece,GRC,2020-01-12,3,2,-8,1
Greece,GRC,2020-01-19,-3,-2,-4,7
Greece,GRC,2020-01-26,2,1,-11,6
Greece,GRC,2020-02-02,-3,8,-1,16
Greece,GRC,2020-02-09,0,1,-4,17
Greece,GRC,2020-02-16,9,1,1,19
Greece,GRC,2020-02-23,-6,-1,-8,8
Greece,GRC,2020-03-01,1,3,-8,10
Greece,GRC,2020-03-08,-1,5,-2,21
Greece,GRC,2020-03-15,-5,16,-1,16
Greece,GRC,2020-03-22,6,19,-5,16
Greece,GRC,2020-03-29,-6,7,2,12
Greece,GRC,2020-04-05,2,3,-7,14
Greece,GRC,2020-04-12,-4,13,-10,9
Greece,GRC,2020-04-19,-10,2,-7,10
Greece,GRC,2020-04-26,-8,-4,-9,6
Greece,GRC,2020-05-03,-7,3,-6,10
Greece,GRC,2020-05-10,6,-13,-7,3
Greece,GRC,2020-05-17,15,13,4,27
Greece,GRC,2020-05-24,10,9,3,22
Greece,GRC,2020-05-31,-8,-1,-20,-11
Greece,GRC,2020-06-07,-2,4,-13,1
Greece,GRC,2020-06-14,-10,3,-8,2
Greece,GRC,2020-06-21,-11,-3,-6,5
Greece,GRC,2020-06-28,-15,-2,-16,-3
Hungary,HUN,2020-01-05,-9,0,-11,-16
Hungary,HUN,2020-01-12,-15,-5,-13,-12
Hungary,HUN,2020-01-19,-14,-9,-11,-13
Hungary,HUN,2020-01-26,-14,-1,-11,-12
Hungary,HUN,2020-02-02,-19,1,-6,-11
Hungary,HUN,2020-02-09,-18,-7,-12,-20
Hungary,HUN,2020-02-16,-18,4,-5,-13
Hungary,HUN,2020-02-23,-24,-4,-9,-14
Hungary,HUN,2020-03-01,-11,3,-3,-5
Hungary,HUN,2020-03-08,-17,0,-6,-8
Hungary,HUN,2020-03-15,-17,4,-3,-5
Hungary,HUN,2020-03-22,-7,12,10,9
Hungary,HUN,2020-03-29,-15,11,1,3
Hungary,HUN,2020-04-05,-6,8,-2,2
Hungary,HUN,2020-04-12,2,0,2,12
Hungary,HUN,2020-04-19,-3,8,0,9
Hungary,HUN,2020-04-26,-9,5,-6,-2
Hungary,HUN,2020-05-03,-14,-6,-1,-1
Hungary,HUN,2020-05-10,-8,9,-1,-2
Hungary,HUN,2020-05-17,-8,12,-1,11
Hungary,HUN,2020-05-24,-20,6,-5,-11
Hungary,HUN,2020-05-31,-10,0,-3,-5
Hungary,HUN,2020-06-07,0,7,8,9
Hungary,HUN,2020-06-14,-15,5,-2,10
Hungary,HUN,2020-06-21,-8,5,-12,-15
Hungary,HUN,2020-06-28,0,13,-2,4
Hungary,HUN,2020-07-05,-7,13,4,7
Hungary,HUN,2020-07-12,-10,-2,-7,-2
Hungary,HUN,2020-07-19,-21,8,-6,-10
Hungary,HUN,2020-07-26,-23,-3,-10,-3
Hungary,HUN,2020-08-02,-3,-4,4,6
Hungary,HUN,2020-08-09,-3,7,-1,-5
Hungary,HUN,2020-08-16,-7,2,-7,-3
Hungary,HUN,2020-08-23,-8,11,-7,0
Hungary,HUN,2020-08-30,-16,7,-8,-8
Hungary,HUN,2020-09-06,-15,1,3,0
Iceland,ISL,2020-01-05,67,90,-3,11
Iceland,ISL,2020-01-12,61,47,2,4
Iceland,ISL,2020-01-19,100,-14,-13,29
Iceland,ISL,2020-01-26,-9,35,3,51
Iceland,ISL,2020-02-02,-48,73,-15,-24
Iceland,ISL,2020-02-16,-9,-38,56,-6
Iceland,ISL,2020-02-23,-70,29,1,26
Iceland,ISL,2020-03-08,8,-12,40,-1
Iceland,ISL,2020-03-22,-22,15,15,-15
Iceland,ISL,2020-03-29,12,-12,23,-37
Iceland,ISL,2020-04-05,-6,29,83,-21
Iceland,ISL,2020-04-12,53,-17,18,2
Iceland,ISL,2020-04-19,-12,30,-10,65
Iceland,ISL,2020-05-03,-11,41,2,5
Iceland,ISL,2020-05-10,11,-35,35,-34
Iceland,ISL,2020-05-24,-25,52,9,12
Iceland,ISL,2020-05-31,48,-22,23,20
Iceland,ISL,2020-06-14,9,-15,14,-6
Iceland,ISL,2020-06-21,6,9,-20,-44
Iceland,ISL,2020-06-28,71,-55,-46,-43
Iceland,ISL,2020-07-05,-3,-34,-23,-12
Iceland,ISL,2020-07-12,50,0,23,5
Iceland,ISL,2020-07-19,97,-47,18,-12
Iceland,ISL,2020-07-26,32,-25,-34,-38
Iceland,ISL,2020-08-02,58,4,-14,-18
Iceland,ISL,2020-08-16,18,3,-43,-1
Israel,ISR,2020-01-05,2,12,3,13
Israel,ISR,2020-01-12,-6,3,-10,-1
Israel,ISR,2020-01-19,5,13,1,8
Israel,ISR,2020-01-26,5,3,-13,-6
Israel,ISR,2020-02-02,-8,4,-10,-8
Israel,ISR,2020-02-09,-22,1,-12,-9
Israel,ISR,2020-02-16,-1,-1,-6,2
Israel,ISR,2020-02-23,-4,6,-3,3
Israel,ISR,2020-03-01,5,0,-12,-8
Israel,ISR,2020-03-08,-3,6,-4,-1
Israel,ISR,2020-03-15,-8,16,4,6
Israel,ISR,2020-03-22,-19,6,3,13
Israel,ISR,2020-03-29,8,23,5,11
Israel,ISR,2020-04-05,-5,44,23,15
Israel,ISR,2020-04-12,0,18,2,5
Israel,ISR,2020-04-19,0,28,13,12
Israel,ISR,2020-04-26,-5,3,7,12
Israel,ISR,2020-05-03,-5,17,2,0
Israel,ISR,2020-05-10,-14,9,6,13
Israel,ISR,2020-05-17,0,21,5,4
Israel,ISR,2020-05-24,11,19,19,27
Israel,ISR,2020-05-31,2,23,1,3
Israel,ISR,2020-06-07,8,11,-1,3
Israel,ISR,2020-06-14,-4,12,4,6
Israel,ISR,2020-06-21,-4,14,4,4
Israel,ISR,2020-06-28,9,11,-3,1
Israel,ISR,2020-07-05,-9,11,-1,3
Israel,ISR,2020-07-12,-6,20,13,14
Israel,ISR,2020-07-19,6,30,6,8
Israel,ISR,2020-07-26,1,12,0,4
Israel,ISR,2020-08-02,8,26,24,26
Israel,ISR,2020-08-09,3,16,3,12
Israel,ISR,2020-08-16,25,17,14,32
Israel,ISR,2020-08-23,7,37,17,8
Israel,ISR,2020-08-30,-4,23,11,17
Israel,ISR,2020-09-06,-9,16,8,9
Italy,ITA,2020-01-05,-6,-11,-13,-13
Italy,ITA,2020-01-12,-8,-5,-15,-9
Italy,ITA,2020-01-19,-5,-8,-10,-7
Italy,ITA,2020-01-26,-5,-4,-10,-2
Italy,ITA,2020-02-02,-7,-2,-11,-2
Italy,ITA,2020-02-09,-5,-3,-9,-1
Italy,ITA,2020-02-16,0,-3,-7,0
Italy,ITA,2020-02-23,-8,-3,-6,-1
Italy,ITA,2020-03-01,-3,1,-3,4
Italy,ITA,2020-03-08,3,13,11,12
Italy,ITA,2020-03-15,17,47,51,41
Italy,ITA,2020-03-22,40,91,91,75
Italy,ITA,2020-03-29,53,100,101,89
Italy,ITA,2020-04-05,31,68,67,80
Italy,ITA,2020-04-12,17,46,57,68
Italy,ITA,2020-04-19,9,26,33,53
Italy,ITA,2020-04-26,5,14,17,35
Italy,ITA,2020-05-03,0,12,4,21
