,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,South-East Asia,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Africa,Africa,Africa,Africa,Africa,Africa,Territories,Territories,Territories,Territories,Territories,Territories,Territories,International
30/1/2020,7736,4,11,10,7,7,2,1,,1,,14,1,1,,1,,5,3,,,,,,,,,,,5,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/1/2020,9720,11,14,13,8,9,5,1,,1,,14,1,1,,1,,6,3,,,,,,,,,,2,6,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,11821,12,17,16,8,12,6,1,,1,,19,1,1,,1,,7,4,,,,,,,,,,2,6,7,1,,2,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2020,14411,15,20,18,8,12,7,2,,1,,19,2,1,,1,,8,4,,,,,,,,,,2,6,8,1,,2,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2020,17238,15,20,18,8,12,8,2,,1,,19,3,1,,1,,11,4,,,,,,,,,,2,6,10,1,,2,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2020,20471,16,20,18,10,12,9,2,,1,,19,3,1,,1,,11,4,,,,,,,,,,2,6,12,1,,2,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2020,24363,18,33,24,10,13,10,3,,1,,25,3,1,,1,,11,5,,,,,,,,,,2,6,12,1,,2,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2020,28060,23,25,28,12,14,10,3,,1,,25,3,1,,1,,12,5,,,,,,,,,,2,6,12,1,,2,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,20
7/2/2020,31211,24,25,30,14,15,12,3,,1,,25,3,1,,1,,12,7,,,,,,,,,,3,6,13,1,,3,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,61
8/2/2020,34598,24,25,33,15,15,13,3,,1,,32,3,1,,1,,12,7,,,,,,,,,,3,6,14,1,,3,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,64
9/2/2020,37251,27,26,40,17,15,14,3,,1,,32,3,1,,1,,12,7,,,,,,,,,,3,11,14,1,,3,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,64
10/2/2020,40235,27,26,43,18,15,14,3,,1,,32,3,1,,1,,12,7,,,,,,,,,,3,11,14,2,,4,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,70
11/2/2020,42708,28,26,45,18,15,15,3,,1,,33,3,1,,1,,13,7,,,,,,,,,,3,11,14,2,,8,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,135
12/2/2020,44730,28,28,47,18,15,15,3,,1,,33,3,1,,1,,13,7,,,,,,,,,,3,11,16,2,,8,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,175
13/2/2020,46550,28,29,50,18,15,16,3,,1,,33,3,1,,1,,14,7,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,174
14/2/2020,48548,28,33,58,19,15,16,3,,1,,33,3,1,,1,,15,7,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,218
15/2/2020,50054,28,41,67,21,15,16,3,,1,,34,3,1,,1,,15,7,,,,,,,,,,3,11,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,218
16/2/2020,51174,29,53,72,22,15,16,3,,1,,34,3,1,,1,,15,7,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,355
17/2/2020,70635,30,59,75,22,15,16,3,,1,,35,3,1,,1,,15,7,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,454
18/2/2020,72528,31,65,77,22,15,16,3,,1,,35,3,1,,1,,15,8,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,454
19/2/2020,74280,51,73,81,22,15,16,3,,1,,35,3,1,,1,,15,8,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,542
20/2/2020,74675,104,85,84,22,15,16,3,,1,,35,3,1,,1,,15,8,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,621
21/2/2020,75569,204,93,85,22,17,16,3,,1,,35,3,1,,1,,15,8,,,,,,,,,,3,12,16,2,,9,1,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,634
22/2/2020,76392,346,105,86,22,21,16,3,,1,,35,3,1,,1,,35,8,,,,,,,,,,9,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,1,,,,,,1,,,,,,,,,,,,,,,,,,,,634
23/2/2020,77042,602,132,89,22,22,16,3,,1,,35,3,1,,1,,35,9,,,,,,,,,,76,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,1,,,,,,1,,,,,,,,,,,,,,,,,,,,634
24/2/2020,77262,763,144,89,22,22,16,3,,1,,35,3,1,,1,,35,9,,,,,,,,,,124,12,16,2,,9,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,695
25/2/2020,77780,977,157,90,22,22,16,3,,1,,37,3,1,,1,,53,10,,,,,,,,,,229,12,16,2,,13,1,,,1,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,13,1,8,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,691
26/2/2020,78191,1261,164,91,22,23,16,3,,1,,40,3,1,,1,,53,10,,,,,,,,,,322,12,18,2,1,13,1,,,1,1,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,13,1,12,5,26,4,1,1,,,,,,,1,,,,,,,,,,,,,691
27/2/2020,78630,1766,186,93,22,23,16,3,,1,,40,3,1,,1,,59,11,1,,,,,,,,,400,18,21,12,1,13,2,,1,2,1,2,2,,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,141,13,2,43,6,33,4,1,1,,2,,,,,1,,,,,,,,,,,,,705
28/2/2020,78961,2337,210,96,24,23,16,3,1,1,,40,3,1,,1,,59,11,1,,,,,,,,,650,38,26,25,6,16,7,1,4,2,1,3,4,,3,2,1,1,3,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,245,19,2,43,7,33,6,1,1,,2,,,,,1,,,,1,,,,,,,,,705
29/2/2020,79394,3150,230,98,24,24,16,3,1,1,,42,3,1,,1,,62,14,1,2,,,,,,,,888,57,57,32,10,20,12,2,6,2,1,5,5,,5,2,3,1,3,2,1,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,388,19,2,45,8,38,6,1,1,,2,,,,,1,,,,1,,,,,,,,,705
1/3/2020,79968,3736,239,102,24,25,16,3,1,1,,42,3,1,,1,,62,19,2,2,1,,,,,,,1128,100,57,45,18,23,13,7,15,2,1,7,10,,7,2,3,1,3,3,1,3,1,3,1,1,,,,,1,1,,,,,,,,,,,,,,,593,19,2,45,13,40,6,1,1,1,4,,,,,1,,,,1,,,,,,,,,705
2/3/2020,80174,4212,254,106,24,27,16,3,1,1,,42,3,1,2,1,,62,19,2,1,1,1,,,,,,1689,100,129,45,24,36,14,13,19,6,1,7,10,2,7,2,3,1,7,3,1,4,1,3,1,1,1,,,,1,1,3,1,,,,,,,,,,,,,978,21,10,56,19,47,6,1,2,3,4,,,,,1,,,,1,,,,,,,,,706
3/3/2020,80304,4812,268,108,29,33,16,3,2,1,,43,5,1,2,1,,64,27,2,5,6,1,,,,,,2036,191,157,114,30,39,15,18,25,7,8,10,18,9,8,3,3,1,7,3,1,5,8,3,1,1,1,,,,1,1,3,1,1,1,2,,,,,,,,,,1501,21,13,56,26,49,6,1,2,7,5,1,1,1,1,5,1,,,1,,,,,,,,,706
4/3/2020,80422,5328,284,110,50,43,16,3,2,1,,43,6,1,2,1,,108,30,2,5,7,1,1,1,,,,2502,212,196,151,37,51,24,28,32,7,8,12,24,16,9,3,4,1,7,3,2,8,8,3,1,1,1,,,,2,1,5,1,1,1,2,1,1,,,,,,,,2336,27,13,56,31,49,12,1,2,8,5,1,1,1,1,5,1,,,1,,,,,,,,,706
5/3/2020,80565,5766,317,110,50,66,16,3,2,1,,47,29,1,2,1,,129,30,3,5,7,1,1,1,,,,3089,282,262,198,56,89,35,38,56,7,23,15,37,26,9,3,4,1,9,3,2,10,16,3,6,1,1,1,1,,2,1,5,1,1,1,7,1,1,,,2,2,,,,2922,27,13,58,36,49,15,1,2,8,5,1,2,1,2,12,4,,,1,,4,2,1,1,,,,706
6/3/2020,80711,6284,349,117,55,57,16,5,4,1,1,47,30,1,2,1,,148,45,7,5,13,1,1,1,,,,3858,420,534,257,86,118,61,82,86,12,50,15,47,26,10,4,6,1,32,9,3,18,21,3,6,1,1,1,6,1,14,1,12,1,1,1,9,1,1,,,2,2,,,,3513,27,16,58,36,49,16,1,3,8,5,1,2,1,8,12,4,1,1,1,,7,2,1,1,,,,696
7/3/2020,80813,6767,408,130,83,62,17,5,5,1,1,48,31,1,2,1,,213,51,13,5,14,1,2,5,1,1,,4636,613,639,374,209,167,137,128,113,19,109,19,66,45,11,7,7,3,32,9,10,23,24,9,6,1,1,1,9,1,18,1,12,2,1,1,13,1,5,1,1,2,5,,,,4747,45,22,58,44,49,16,1,3,11,5,1,2,1,8,17,4,2,1,1,1,16,2,1,1,,,,696
8/3/2020,80859,7134,455,138,93,74,21,6,5,2,1,50,34,1,6,1,2,213,57,19,7,14,1,9,5,1,6,5,5883,706,795,430,264,210,161,188,147,19,169,25,104,45,11,7,13,3,66,12,10,31,27,9,6,1,1,1,12,1,19,1,26,2,1,1,21,1,6,3,1,2,7,3,2,1,5823,45,28,62,54,56,16,4,48,12,5,1,2,1,11,17,4,2,2,1,1,16,2,1,1,1,5,2,696
