location,iso_code,year,cardiovasc_death_rate
Panama,PAN,2017,128.346
Papua New Guinea,PNG,2017,561.494
Paraguay,PRY,2017,199.128
Peru,PER,2017,85.755
Philippines,PHL,2017,370.437
Poland,POL,2017,227.331
Portugal,PRT,2017,127.842
Puerto Rico,PRI,2017,108.094
Qatar,QAT,2017,176.69
Romania,ROU,2017,370.946
Russia,RUS,2017,431.297
Rwanda,RWA,2017,191.375
Saint Lucia,LCA,2017,204.62
Saint Vincent and the Grenadines,VCT,2017,252.675
Samoa,WSM,2017,348.977
Sao Tome and Principe,STP,2017,270.113
Saudi Arabia,SAU,2017,259.538
Scotland,"",2017,146.97
Senegal,SEN,2017,241.219
Serbia,SRB,2017,439.415
Seychelles,SYC,2017,242.648
Sierra Leone,SLE,2017,325.721
Singapore,SGP,2017,92.243
Slovakia,SVK,2017,287.959
Slovenia,SVN,2017,153.493
Solomon Islands,SLB,2017,459.78
Somalia,SOM,2017,365.769
South Africa,ZAF,2017,200.38
South Asia,"",2017,294.555
South Korea,KOR,2017,85.998
South Sudan,SSD,2017,280.775
Southeast Asia,"",2017,261.472
"Southeast Asia, East Asia, and Oceania","",2017,261.638
Southern Latin America,"",2017,171.505
Southern Sub-Saharan Africa,"",2017,220.155
Spain,ESP,2017,99.403
Sri Lanka,LKA,2017,197.093
Sub-Saharan Africa,"",2017,240.847
Sudan,SDN,2017,431.388
Suriname,SUR,2017,258.314
Swaziland,SWZ,2017,333.436
Sweden,SWE,2017,133.982
Switzerland,CHE,2017,99.739
Syria,SYR,2017,376.264
Taiwan,TWN,2017,103.957
Tajikistan,TJK,2017,427.698
Tanzania,TZA,2017,217.288
Thailand,THA,2017,109.861
Timor,TLS,2017,335.346
Togo,TGO,2017,280.033
Tonga,TON,2017,227.49
Trinidad and Tobago,TTO,2017,228.467
Tropical Latin America,"",2017,178.391
Tunisia,TUN,2017,318.991
Turkey,TUR,2017,171.285
Turkmenistan,TKM,2017,536.783
Uganda,UGA,2017,213.333
Ukraine,UKR,2017,539.849
United Arab Emirates,ARE,2017,317.84
United Kingdom,GBR,2017,122.137
United States,USA,2017,151.089
United States Virgin Islands,VIR,2017,273.67
Uruguay,URY,2017,160.708
Uzbekistan,UZB,2017,724.417
Vanuatu,VUT,2017,546.3
Venezuela,VEN,2017,204.85
Vietnam,VNM,2017,245.465
Wales,"",2017,130.865
Western Europe,"",2017,120.994
Western Sub-Saharan Africa,"",2017,230.503
World,OWID_WRL,2017,233.07
Yemen,YEM,2017,495.003
Zambia,ZMB,2017,234.499
Zimbabwe,ZWE,2017,307.846
