iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CRI,North America,Costa Rica,2021-05-07,265486.0,2392.0,2070.714,3365.0,24.0,19.143,52116.227,469.562,406.492,660.566,4.711,3.758,1.4,,,,,,,,,4714.0,844983.0,165.874,0.925,6645.0,1.304,0.27,3.7,people tested,950252.0,605099.0,345153.0,,18767.0,18.65,11.88,6.78,3684.0,62.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
CIV,Africa,Cote d'Ivoire,2021-05-07,46344.0,29.0,44.0,291.0,0.0,0.714,1756.9,1.099,1.668,11.032,0.0,0.027,0.79,,,,,,,,,2360.0,603021.0,22.861,0.089,1831.0,0.069,0.022,44.5,samples tested,215010.0,215010.0,,17518.0,10677.0,0.82,0.82,,405.0,25.93,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
HRV,Europe,Croatia,2021-05-07,342487.0,1435.0,1472.0,7388.0,33.0,43.857,83426.222,349.551,358.564,1799.639,8.038,10.683,0.91,,,2223.0,541.499,,,1555.852,378.989,7682.0,1863305.0,453.881,1.871,8445.0,2.057,0.179,5.6,people tested,1078760.0,835320.0,243440.0,53059.0,25377.0,26.28,20.35,5.93,6182.0,49.07,4105268.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
CUB,North America,Cuba,2021-05-07,113876.0,1162.0,1024.143,713.0,12.0,9.857,10053.841,102.59,90.419,62.949,1.059,0.87,0.98,,,,,,,,,22818.0,3764614.0,332.369,2.015,22228.0,1.962,0.046,21.8,tests performed,,,,,,,,,,79.63,11326616.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
CUW,North America,Curacao,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106971.0,76031.0,30940.0,1251.0,1865.0,65.19,46.33,18.85,11365.0,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
CYP,Europe,Cyprus,2021-05-07,68766.0,324.0,504.714,332.0,4.0,3.429,78509.052,369.906,576.224,379.039,4.567,3.914,0.88,37.0,42.242,292.0,333.372,20.714,23.649,161.764,184.684,42232.0,5459910.0,6233.493,48.216,39980.0,45.645,0.011,87.2,tests performed,287816.0,218323.0,69463.0,,6444.0,32.86,24.93,7.93,7357.0,56.48,875899.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
CZE,Europe,Czechia,2021-05-07,1642696.0,1576.0,1705.429,29608.0,87.0,48.714,153394.226,147.166,159.252,2764.782,8.124,4.549,0.8,483.0,45.102,2492.0,232.702,1041.463,97.251,4604.468,429.963,175236.0,,,16.363,169254.0,15.805,0.01,100.0,tests performed,3595117.0,2554599.0,1055120.0,80531.0,61435.0,33.57,23.85,9.85,5737.0,56.48,10708982.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
COD,Africa,Democratic Republic of Congo,2021-05-07,30240.0,39.0,55.286,772.0,2.0,0.857,337.645,0.435,0.617,8.62,0.022,0.01,1.01,,,,,,,,,493.0,,,0.006,405.0,0.005,0.128,7.8,samples tested,1700.0,1700.0,,,243.0,0.0,0.0,,3.0,29.63,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
DNK,Europe,Denmark,2021-05-07,258204.0,1023.0,993.571,2496.0,2.0,1.714,44577.858,176.617,171.536,430.924,0.345,0.296,0.93,37.0,6.388,179.0,30.904,,,174.082,30.054,188737.0,27663562.0,4776.0,32.585,171195.0,29.556,0.004,224.1,tests performed,2258055.0,1463298.0,794757.0,46717.0,40335.0,38.98,25.26,13.72,6964.0,53.7,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
DJI,Africa,Djibouti,2021-05-07,11319.0,12.0,31.286,148.0,0.0,0.714,11456.455,12.146,31.666,149.797,0.0,0.723,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
