iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
MHL,Oceania,Marshall Islands,2021-05-07,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
MRT,Africa,Mauritania,2021-05-07,18613.0,37.0,30.143,456.0,0.0,0.143,4003.088,7.958,6.483,98.072,0.0,0.031,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
MUS,Africa,Mauritius,2021-05-07,1226.0,10.0,2.429,17.0,0.0,0.0,964.013,7.863,1.91,13.367,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MEX,North America,Mexico,2021-05-07,2361874.0,3043.0,2445.571,218657.0,484.0,250.0,18318.65,23.601,18.968,1695.9,3.754,1.939,0.89,,,,,,,,,6289.0,6279703.0,48.705,0.049,9880.0,0.077,0.181,5.5,people tested,20540830.0,13715159.0,9092249.0,589709.0,403146.0,15.93,10.64,7.05,3127.0,44.44,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
FSM,Oceania,Micronesia (country),2021-05-07,1.0,0.0,0.0,,,0.0,8.694,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62
MDA,Europe,Moldova,2021-05-07,252413.0,260.0,225.143,5929.0,17.0,16.714,62571.967,64.453,55.812,1469.771,4.214,4.143,0.58,,,,,,,,,,,,,,,,,,182717.0,159420.0,23297.0,10897.0,5057.0,4.53,3.95,0.58,1254.0,63.89,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
MCO,Europe,Monaco,2021-05-07,2477.0,2.0,3.286,32.0,0.0,0.0,63117.929,50.963,83.725,815.411,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
MNG,Asia,Mongolia,2021-05-07,44016.0,815.0,961.571,160.0,7.0,6.429,13426.504,248.605,293.315,48.806,2.135,1.961,1.16,,,,,,,,,9477.0,2745094.0,837.355,2.891,9929.0,3.029,0.114,8.8,samples tested,2086853.0,1476779.0,610074.0,140503.0,125462.0,63.66,45.05,18.61,38271.0,96.3,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNE,Europe,Montenegro,2021-05-07,98142.0,100.0,107.571,1533.0,7.0,5.429,156261.643,159.22,171.275,2440.842,11.145,8.643,0.76,,,,,,,,,,,,,,,,,,94291.0,65390.0,28901.0,8975.0,4782.0,15.01,10.41,4.6,7614.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
MAR,Africa,Morocco,2021-05-07,513314.0,298.0,295.0,9057.0,8.0,4.857,13906.969,8.074,7.992,245.377,0.217,0.132,0.79,,,,,,,,,8983.0,5798007.0,157.083,0.243,7971.0,0.216,0.038,26.2,people tested,9793139.0,5429878.0,4363261.0,122315.0,68298.0,26.53,14.71,11.82,1850.0,71.3,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
MOZ,Africa,Mozambique,2021-05-07,70138.0,30.0,31.571,820.0,1.0,0.857,2244.026,0.96,1.01,26.235,0.032,0.027,0.68,,,,,,,,,943.0,522290.0,16.71,0.03,1204.0,0.039,0.032,31.3,units unclear,,,,,,,,,,56.48,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
MMR,Asia,Myanmar,2021-05-07,142903.0,29.0,12.286,3210.0,0.0,0.143,2626.421,0.533,0.226,58.997,0.0,0.003,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
NAM,Africa,Namibia,2021-05-07,49552.0,92.0,171.571,682.0,8.0,5.714,19501.629,36.207,67.523,268.407,3.148,2.249,1.32,,,,,,,,,2001.0,394758.0,155.361,0.788,1427.0,0.562,0.115,8.7,samples tested,36417.0,34346.0,2071.0,1760.0,2101.0,1.43,1.35,0.08,827.0,,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
NPL,Asia,Nepal,2021-05-07,377603.0,9023.0,7773.714,3579.0,50.0,42.857,12959.656,309.677,266.8,122.834,1.716,1.471,1.78,,,,,,,,,20756.0,2558051.0,87.794,0.712,16012.0,0.55,0.419,2.4,tests performed,2453512.0,2091511.0,362001.0,40071.0,40222.0,8.42,7.18,1.24,1380.0,91.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
NLD,Europe,Netherlands,2021-05-07,1572861.0,7509.0,7126.857,17547.0,22.0,21.286,91792.977,438.229,415.927,1024.052,1.284,1.242,1.02,804.0,46.922,1796.0,104.815,371.094,21.657,1607.417,93.81,,9072388.0,529.469,,27038.0,1.578,0.109,9.2,people tested,5651843.0,4448730.0,,89850.0,94291.0,32.98,25.96,,5503.0,67.59,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NZL,Oceania,New Zealand,2021-05-07,2634.0,0.0,3.0,26.0,0.0,0.0,546.22,0.0,0.622,5.392,0.0,0.0,1.16,,,,,,,,,5424.0,2046919.0,424.475,1.125,4011.0,0.832,0.001,1361.7,tests performed,304900.0,217603.0,87297.0,13235.0,9783.0,6.32,4.51,1.81,2029.0,22.22,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
NIC,North America,Nicaragua,2021-05-07,6989.0,0.0,13.0,183.0,0.0,0.143,1055.014,0.0,1.962,27.625,0.0,0.022,0.1,,,,,,,,,,,,,,,,,,135130.0,135130.0,,,7350.0,2.04,2.04,,1110.0,13.89,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
NER,Africa,Niger,2021-05-07,5310.0,24.0,11.714,192.0,0.0,0.143,219.361,0.991,0.484,7.932,0.0,0.006,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
NGA,Africa,Nigeria,2021-05-07,165340.0,39.0,32.857,2065.0,0.0,0.286,802.078,0.189,0.159,10.017,0.0,0.001,0.74,,,,,,,,,,1939165.0,9.407,,3791.0,0.018,0.017,59.9,samples tested,1289773.0,1289773.0,,23031.0,12575.0,0.63,0.63,,61.0,47.22,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
OWID_NAM,,North America,2021-05-07,37948752.0,65202.0,59894.857,855503.0,1520.0,1105.286,64094.804,110.125,101.161,1444.93,2.567,1.867,,,,,,,,,,,,,,,,,,,296950163.0,182812844.0,122896679.0,3236023.0,2823362.0,50.15,30.88,20.76,4769.0,,592072204.0,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-05-07,153694.0,233.0,189.571,5067.0,25.0,30.286,73771.468,111.837,90.992,2432.106,12.0,14.537,0.53,,,,,,,,,2928.0,728726.0,349.781,1.405,1881.0,0.903,0.129,7.8,tests performed,74076.0,74076.0,,7990.0,2323.0,3.56,3.56,,1115.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
NOR,Europe,Norway,2021-05-07,115818.0,407.0,406.857,767.0,0.0,1.571,21363.739,75.075,75.049,141.48,0.0,0.29,0.89,,,155.0,28.591,12.12,2.236,67.67,12.482,21850.0,5228065.0,964.367,4.03,17901.0,3.302,0.022,45.6,people tested,1919369.0,1465851.0,453518.0,65204.0,29332.0,35.4,27.04,8.37,5411.0,63.89,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
OWID_OCE,,Oceania,2021-05-07,44331.0,13.0,108.714,1061.0,0.0,2.143,1038.737,0.305,2.547,24.861,0.0,0.05,,,,,,,,,,,,,,,,,,,2936723.0,446754.0,87297.0,81002.0,58457.0,6.88,1.05,0.2,1370.0,,42677809.0,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-05-07,199344.0,0.0,870.143,2083.0,0.0,10.429,39036.373,0.0,170.395,407.902,0.0,2.042,0.97,,,,,,,,,,,,,,,,,,315691.0,253000.0,73269.0,8236.0,10124.0,6.18,4.95,1.43,1983.0,80.56,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
PAK,Asia,Pakistan,2021-05-07,854240.0,4109.0,4103.0,18797.0,120.0,120.0,3867.223,18.602,18.575,85.096,0.543,0.543,0.8,,,,,,,,,44846.0,12101832.0,54.786,0.203,44815.0,0.203,0.092,10.8,tests performed,3320304.0,2100000.0,,170182.0,153666.0,1.5,0.95,,696.0,,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PSE,Asia,Palestine,2021-05-07,300946.0,559.0,640.571,3338.0,12.0,12.714,58992.64,109.577,125.567,654.328,2.352,2.492,0.65,,,,,,,,,3637.0,,,0.713,3634.0,0.712,0.188,5.3,tests performed,213989.0,170109.0,43880.0,496.0,4340.0,4.19,3.33,0.86,851.0,71.3,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708
PAN,North America,Panama,2021-05-07,366762.0,398.0,312.286,6258.0,3.0,3.714,85001.557,92.241,72.376,1450.368,0.695,0.861,0.98,,,,,,,,,8724.0,2427078.0,562.505,2.022,7793.0,1.806,0.038,26.2,tests performed,758563.0,507759.0,250804.0,27374.0,12245.0,17.58,11.77,5.81,2838.0,65.74,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
PNG,Oceania,Papua New Guinea,2021-05-07,11630.0,0.0,90.429,121.0,0.0,2.0,1299.873,0.0,10.107,13.524,0.0,0.224,0.74,,,,,,,,,,,,,,,,,,2900.0,2900.0,,,130.0,0.03,0.03,,15.0,65.74,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
PRY,South America,Paraguay,2021-05-07,294233.0,2693.0,2165.143,6974.0,91.0,84.143,41252.263,377.566,303.559,977.774,12.758,11.797,0.95,,,,,,,,,6030.0,1120800.0,157.139,0.845,6099.0,0.855,0.347,2.9,tests performed,143441.0,131013.0,12428.0,4.0,4197.0,2.01,1.84,0.17,588.0,45.37,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
PER,South America,Peru,2021-05-07,1824457.0,0.0,3573.143,62976.0,0.0,214.143,55333.784,0.0,108.37,1909.993,0.0,6.495,0.96,,,,,,,,,2211.0,3459353.0,104.918,0.067,6695.0,0.203,0.154,6.5,tests performed,1939155.0,1284692.0,654463.0,27305.0,41568.0,5.88,3.9,1.98,1261.0,75.93,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PHL,Asia,Philippines,2021-05-07,1087885.0,7713.0,7203.571,18099.0,108.0,123.571,9927.671,70.386,65.737,165.165,0.986,1.128,0.89,,,,,,,,,45822.0,11436816.0,104.369,0.418,44525.0,0.406,0.165,6.1,people tested,2314377.0,1892934.0,421443.0,21345.0,56361.0,2.11,1.73,0.38,514.0,68.06,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
POL,Europe,Poland,2021-05-07,2824425.0,6047.0,4611.857,69445.0,452.0,277.571,74628.226,159.777,121.857,1834.907,11.943,7.334,0.54,,,21209.0,560.394,,,,,65888.0,14266710.0,376.961,1.741,49747.0,1.314,0.095,10.5,people tested,13409463.0,9987919.0,3579910.0,375115.0,247933.0,35.43,26.39,9.46,6551.0,71.3,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
PRT,Europe,Portugal,2021-05-07,838852.0,377.0,337.0,16989.0,1.0,2.143,82266.951,36.973,33.05,1666.126,0.098,0.21,0.8,85.0,8.336,311.0,30.5,,,31.692,3.108,41902.0,10781631.0,1057.364,4.109,44560.0,4.37,0.008,122.9,tests performed,3776637.0,2742360.0,1034255.0,101024.0,70379.0,37.04,26.89,10.14,6902.0,72.22,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864
QAT,Asia,Qatar,2021-05-07,210070.0,600.0,631.143,496.0,3.0,5.429,72914.136,208.257,219.066,172.159,1.041,1.884,0.89,,,,,,,,,4427.0,1927819.0,669.135,1.537,4888.0,1.697,0.134,7.5,people tested,1762545.0,1094976.0,667569.0,30074.0,29477.0,61.18,38.01,23.17,10231.0,79.63,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
ROU,Europe,Romania,2021-05-07,1063949.0,1422.0,1240.571,28799.0,89.0,98.571,55305.468,73.917,64.487,1497.01,4.626,5.124,0.64,1253.0,65.133,,,,,6375.789,331.422,26443.0,7472840.0,388.448,1.375,15387.0,0.8,0.085,11.8,tests performed,5688721.0,3491189.0,2198691.0,100454.0,75269.0,29.57,18.15,11.43,3913.0,61.11,19237682.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
RUS,Europe,Russia,2021-05-07,4808133.0,8261.0,8196.857,110735.0,369.0,349.286,32947.208,56.608,56.168,758.8,2.529,2.393,0.99,,,,,,,,,264152.0,130898630.0,896.969,1.81,245118.0,1.68,0.034,29.7,tests performed,21296747.0,12940465.0,8356282.0,119034.0,208908.0,14.59,8.87,5.73,1432.0,36.57,145934460.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
RWA,Africa,Rwanda,2021-05-07,25539.0,53.0,60.429,338.0,0.0,0.429,1971.787,4.092,4.666,26.096,0.0,0.033,0.82,,,,,,,,,4530.0,1333441.0,102.951,0.35,3681.0,0.284,0.019,52.5,samples tested,350465.0,350465.0,,113.0,87.0,2.71,2.71,,7.0,71.3,12952209.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543
KNA,North America,Saint Kitts and Nevis,2021-05-07,45.0,0.0,0.143,,,0.0,845.992,0.0,2.686,,,0.0,,,,,,,,,,,,,,,,,,,13070.0,12943.0,127.0,,94.0,24.57,24.33,0.24,1767.0,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
LCA,North America,Saint Lucia,2021-05-07,4607.0,0.0,7.857,75.0,0.0,0.143,25088.63,0.0,42.788,408.432,0.0,0.778,1.03,,,,,,,,,,,,,,,,,,24985.0,,,212.0,103.0,13.61,,,561.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
VCT,North America,Saint Vincent and the Grenadines,2021-05-07,1895.0,6.0,4.429,12.0,0.0,0.143,17080.227,54.08,39.916,108.16,0.0,1.288,1.08,,,,,,,,,,,,,,,,,,14526.0,,,15.0,96.0,13.09,,,865.0,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
WSM,Oceania,Samoa,2021-05-07,3.0,0.0,0.0,,,0.0,15.12,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,7435.0,,,,518.0,3.75,,,2611.0,,198410.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
SMR,Europe,San Marino,2021-05-07,5067.0,0.0,0.143,90.0,0.0,0.0,149301.668,0.0,4.209,2651.895,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,31886.0,21192.0,10694.0,922.0,504.0,93.95,62.44,31.51,14851.0,52.78,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
STP,Africa,Sao Tome and Principe,2021-05-07,2317.0,0.0,2.143,35.0,0.0,0.0,10572.136,0.0,9.778,159.7,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
SAU,Asia,Saudi Arabia,2021-05-07,424445.0,1039.0,1011.714,7045.0,13.0,12.571,12191.837,29.844,29.061,202.362,0.373,0.361,1.01,,,,,,,,,74940.0,17389803.0,499.508,2.153,69427.0,1.994,0.015,68.5,tests performed,10230231.0,,,164307.0,145035.0,29.39,,,4166.0,50.0,34813867.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
SEN,Africa,Senegal,2021-05-07,40621.0,43.0,39.571,1116.0,0.0,1.286,2426.013,2.568,2.363,66.651,0.0,0.077,0.92,,,,,,,,,1029.0,498678.0,29.783,0.061,1251.0,0.075,0.032,30.9,tests performed,423451.0,423451.0,,1458.0,1730.0,2.53,2.53,,103.0,23.15,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
SRB,Europe,Serbia,2021-05-07,698518.0,1277.0,1280.143,6519.0,20.0,22.429,102653.853,187.667,188.129,958.029,2.939,3.296,0.68,,,,,,,,,13206.0,3907936.0,574.308,1.941,9794.0,1.439,0.14,7.1,people tested,3757088.0,2116586.0,1640502.0,41985.0,34640.0,55.21,31.11,24.11,5091.0,56.48,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806
SYC,Africa,Seychelles,2021-05-07,6373.0,0.0,71.429,28.0,0.0,0.0,64805.776,0.0,726.343,284.726,0.0,0.0,1.53,,,,,,,,,,,,,,,,,,127721.0,68045.0,59676.0,1301.0,556.0,129.88,69.19,60.68,5654.0,43.52,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
SLE,Africa,Sierra Leone,2021-05-07,4068.0,0.0,2.0,79.0,0.0,0.0,509.967,0.0,0.251,9.903,0.0,0.0,0.97,,,,,,,,,,,,,,,,,,61107.0,56774.0,6024.0,,721.0,0.77,0.71,0.08,90.0,50.93,7976985.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
SGP,Asia,Singapore,2021-05-07,61311.0,25.0,23.714,31.0,0.0,0.143,10479.898,4.273,4.053,5.299,0.0,0.024,0.92,,,,,,,,,,9906797.0,1693.37,,52880.0,9.039,0.0,2011.7,samples tested,,,,,,,,,,52.78,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
SVK,Europe,Slovakia,2021-05-07,385022.0,362.0,401.571,11946.0,26.0,37.429,70521.461,66.305,73.553,2188.055,4.762,6.855,0.85,,,1206.0,220.894,,,,,94621.0,35603020.0,6521.126,17.331,220622.0,40.41,0.004,250.0,tests performed,1768422.0,1191788.0,576634.0,27962.0,24459.0,32.39,21.83,10.56,4480.0,64.81,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
SVN,Europe,Slovenia,2021-05-07,245159.0,603.0,695.286,4285.0,3.0,5.0,117925.454,290.053,334.444,2061.154,1.443,2.405,1.04,152.0,73.114,605.0,291.015,69.435,33.399,362.052,174.153,4029.0,1199033.0,576.754,1.938,3491.0,1.679,0.196,5.1,tests performed,723257.0,476388.0,246869.0,19315.0,12611.0,34.79,22.92,11.87,6066.0,56.48,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917
SLB,Oceania,Solomon Islands,2021-05-07,20.0,0.0,0.0,,,0.0,29.117,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,4890.0,4890.0,,,107.0,0.71,0.71,,156.0,33.33,686878.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
SOM,Africa,Somalia,2021-05-07,14368.0,0.0,64.714,745.0,0.0,4.571,904.033,0.0,4.072,46.875,0.0,0.288,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,15893219.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
ZAF,Africa,South Africa,2021-05-07,1592626.0,2256.0,1630.857,54687.0,67.0,48.143,26853.164,38.038,27.498,922.074,1.13,0.812,1.23,,,,,,,,,32577.0,10805804.0,182.196,0.549,25825.0,0.435,0.06,16.7,people tested,381171.0,381171.0,381171.0,12920.0,9074.0,0.64,0.64,0.64,153.0,50.93,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
OWID_SAM,,South America,2021-05-07,25681088.0,133801.0,114696.0,697842.0,3554.0,3632.429,59618.121,310.616,266.264,1620.026,8.251,8.433,,,,,,,,,,,,,,,,,,,83052978.0,55838455.0,27241217.0,632586.0,964271.0,19.28,12.96,6.32,2239.0,,430759772.0,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-05-07,126745.0,701.0,587.286,1865.0,5.0,4.857,2472.148,13.673,11.455,36.377,0.098,0.095,0.91,,,,,,,,,38521.0,8972458.0,175.007,0.751,29525.0,0.576,0.019,51.7,people tested,4136581.0,3662587.0,473994.0,130775.0,83168.0,8.07,7.14,0.92,1622.0,58.33,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
SSD,Africa,South Sudan,2021-05-07,10637.0,17.0,7.714,115.0,0.0,0.0,950.264,1.519,0.689,10.274,0.0,0.0,0.8,,,,,,,,,724.0,154716.0,13.822,0.065,563.0,0.05,0.013,74.4,tests performed,,,,,,,,,,72.22,11193729.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
ESP,Europe,Spain,2021-05-07,3567408.0,8186.0,6190.143,78792.0,66.0,82.286,76300.386,175.084,132.396,1685.218,1.412,1.76,0.89,,,,,42.475,0.908,691.454,14.789,,40462407.0,865.417,,124440.0,2.662,0.067,15.0,tests performed,19048132.0,13271511.0,5956451.0,558552.0,383362.0,40.74,28.39,12.74,8199.0,67.59,46754783.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
LKA,Asia,Sri Lanka,2021-05-07,121338.0,1914.0,1884.571,764.0,19.0,12.286,5666.492,89.384,88.01,35.679,0.887,0.574,1.64,,,,,,,,,26360.0,2887141.0,134.83,1.231,23860.0,1.114,0.075,13.3,tests performed,1105342.0,928107.0,177235.0,17249.0,21697.0,5.16,4.33,0.83,1013.0,59.26,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782
SDN,Africa,Sudan,2021-05-07,34461.0,0.0,73.857,2365.0,0.0,2.286,785.897,0.0,1.684,53.935,0.0,0.052,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,51.39,43849269.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
SUR,South America,Suriname,2021-05-07,10933.0,117.0,81.429,214.0,1.0,1.429,18636.833,199.443,138.806,364.793,1.705,2.435,1.19,,,,,,,,,,,,,,,,,,87524.0,43888.0,43636.0,1193.0,6872.0,14.92,7.48,7.44,11714.0,70.37,586634.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
SWE,Europe,Sweden,2021-05-07,1007792.0,5671.0,4884.0,14173.0,15.0,17.857,99788.599,561.526,483.599,1403.369,1.485,1.768,1.05,399.0,39.508,1951.0,193.182,162.33,16.073,,,49375.0,,,4.889,49375.0,4.889,0.102,9.8,tests performed,3679451.0,2852689.0,826762.0,115842.0,58937.0,36.43,28.25,8.19,5836.0,65.74,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
CHE,Europe,Switzerland,2021-05-07,670613.0,1546.0,1519.857,10702.0,7.0,10.0,77486.147,178.633,175.612,1236.565,0.809,1.155,0.9,,,,,,,,,25405.0,6678469.0,771.665,2.935,24116.0,2.786,0.067,14.9,tests performed,3001029.0,1997717.0,1003312.0,106240.0,53412.0,34.68,23.08,11.59,6172.0,50.93,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
SYR,Asia,Syria,2021-05-07,23256.0,65.0,74.714,1639.0,8.0,6.714,1328.864,3.714,4.269,93.654,0.457,0.384,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,57.87,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
TWN,Asia,Taiwan,2021-05-07,1178.0,5.0,7.143,12.0,0.0,0.0,49.461,0.21,0.3,0.504,0.0,0.0,1.27,,,,,,,,,1009.0,213640.0,8.97,0.042,880.0,0.037,0.008,118.5,people tested,910022.0,,,829161.0,121734.0,3.82,,,5111.0,25.0,23816775.0,,42.2,,8.353,,,103.957,,,,,,80.46,
TJK,Asia,Tajikistan,2021-05-07,13308.0,0.0,0.0,90.0,0.0,0.0,1395.313,0.0,0.0,9.436,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TZA,Africa,Tanzania,2021-05-07,509.0,0.0,0.0,21.0,0.0,0.0,8.521,0.0,0.0,0.352,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
