date,vaccine,total_vaccinations,location
2021-03-27,Pfizer/BioNTech,1222798,Czechia
2021-03-28,Moderna,140579,Czechia
2021-03-28,Oxford/AstraZeneca,211067,Czechia
2021-03-28,Pfizer/BioNTech,1230692,Czechia
2021-03-29,Moderna,146496,Czechia
2021-03-29,Oxford/AstraZeneca,214732,Czechia
2021-03-29,Pfizer/BioNTech,1260361,Czechia
2021-03-30,Moderna,155295,Czechia
2021-03-30,Oxford/AstraZeneca,219959,Czechia
2021-03-30,Pfizer/BioNTech,1292623,Czechia
2021-03-31,Oxford/AstraZeneca,224793,Czechia
2021-03-31,Pfizer/BioNTech,1326272,Czechia
2021-03-31,Moderna,166110,Czechia
2021-04-01,Moderna,176553,Czechia
2021-04-01,Oxford/AstraZeneca,229088,Czechia
2021-04-01,Pfizer/BioNTech,1368132,Czechia
2021-04-02,Moderna,179080,Czechia
2021-04-02,Oxford/AstraZeneca,229586,Czechia
2021-04-02,Pfizer/BioNTech,1384442,Czechia
2021-04-03,Oxford/AstraZeneca,229763,Czechia
2021-04-03,Moderna,180796,Czechia
2021-04-03,Pfizer/BioNTech,1396830,Czechia
2021-04-04,Moderna,181987,Czechia
2021-04-04,Oxford/AstraZeneca,229764,Czechia
2021-04-04,Pfizer/BioNTech,1406783,Czechia
2021-04-05,Oxford/AstraZeneca,229829,Czechia
2021-04-05,Pfizer/BioNTech,1414728,Czechia
2021-04-05,Moderna,183364,Czechia
2021-04-06,Pfizer/BioNTech,1448248,Czechia
2021-04-06,Moderna,191720,Czechia
2021-04-06,Oxford/AstraZeneca,232659,Czechia
2021-04-07,Moderna,199989,Czechia
2021-04-07,Oxford/AstraZeneca,240378,Czechia
2021-04-07,Pfizer/BioNTech,1476946,Czechia
2021-04-08,Moderna,206023,Czechia
2021-04-08,Oxford/AstraZeneca,251222,Czechia
2021-04-08,Pfizer/BioNTech,1527822,Czechia
2021-04-09,Moderna,213351,Czechia
2021-04-09,Oxford/AstraZeneca,261874,Czechia
2021-04-09,Pfizer/BioNTech,1577153,Czechia
2021-04-10,Pfizer/BioNTech,1602380,Czechia
2021-04-10,Moderna,214864,Czechia
2021-04-10,Oxford/AstraZeneca,265128,Czechia
2021-04-11,Pfizer/BioNTech,1620196,Czechia
2021-04-11,Moderna,215996,Czechia
2021-04-11,Oxford/AstraZeneca,265617,Czechia
2021-04-12,Moderna,224360,Czechia
2021-04-12,Oxford/AstraZeneca,273954,Czechia
2021-04-12,Pfizer/BioNTech,1665027,Czechia
2021-04-13,Moderna,234735,Czechia
2021-04-13,Oxford/AstraZeneca,282843,Czechia
2021-04-13,Pfizer/BioNTech,1706209,Czechia
2021-04-14,Oxford/AstraZeneca,292342,Czechia
2021-04-14,Moderna,244954,Czechia
2021-04-14,Pfizer/BioNTech,1751003,Czechia
2021-04-15,Oxford/AstraZeneca,300836,Czechia
2021-04-15,Moderna,253968,Czechia
2021-04-15,Pfizer/BioNTech,1804378,Czechia
2021-04-16,Oxford/AstraZeneca,307030,Czechia
2021-04-16,Moderna,262901,Czechia
2021-04-16,Pfizer/BioNTech,1855009,Czechia
2021-04-17,Oxford/AstraZeneca,307576,Czechia
2021-04-17,Moderna,265238,Czechia
2021-04-17,Pfizer/BioNTech,1876084,Czechia
