location,iso_code,year,human_development_index
Syria,SYR,2017,0.536
Tajikistan,TJK,2017,0.65
Tanzania,TZA,2017,0.538
Thailand,THA,2017,0.755
Timor,TLS,2017,0.625
Togo,TGO,2017,0.503
Tonga,TON,2017,0.726
Trinidad and Tobago,TTO,2017,0.784
Tunisia,TUN,2017,0.735
Turkey,TUR,2017,0.791
Turkmenistan,TKM,2017,0.706
Uganda,UGA,2017,0.516
Ukraine,UKR,2017,0.751
United Arab Emirates,ARE,2017,0.863
United Kingdom,GBR,2017,0.922
United States,USA,2017,0.924
Uruguay,URY,2017,0.804
Uzbekistan,UZB,2017,0.71
Vanuatu,VUT,2017,0.603
Venezuela,VEN,2017,0.761
Vietnam,VNM,2017,0.694
Yemen,YEM,2017,0.452
Zambia,ZMB,2017,0.588
Zimbabwe,ZWE,2017,0.535
