location,iso_code,year,median_age
Guinea,GIN,2020,19
Guinea-Bissau,GNB,2020,19.4
Guyana,GUY,2020,26.3
Haiti,HTI,2020,24.3
High income,"",2020,41.5
Honduras,HND,2020,24.9
Hong Kong,HKG,2020,44.8
Hungary,HUN,2020,43.4
Iceland,ISL,2020,37.3
India,IND,2020,28.2
Indonesia,IDN,2020,29.3
Iran,IRN,2020,32.4
Iraq,IRQ,2020,20
Ireland,IRL,2020,38.7
Israel,ISR,2020,30.6
Italy,ITA,2020,47.9
Jamaica,JAM,2020,31.4
Japan,JPN,2020,48.2
Jordan,JOR,2020,23.2
Kazakhstan,KAZ,2020,30.6
Kenya,KEN,2020,20
Kiribati,KIR,2020,23.2
Kuwait,KWT,2020,33.7
Kyrgyzstan,KGZ,2020,26.3
Laos,LAO,2020,24.4
Latin America & Caribbean,"",2020,30.9
Latvia,LVA,2020,43.9
Least developed countries,"",2020,20.4
Lebanon,LBN,2020,31.1
Lesotho,LSO,2020,22.2
Less developed regions,"",2020,29.1
"Less developed regions, excluding China","",2020,26.3
"Less developed regions, excluding least developed countries","",2020,30.9
Liberia,LBR,2020,19.2
Libya,LBY,2020,29
Lithuania,LTU,2020,43.5
Low income,"",2020,18.9
Lower middle income,"",2020,26.4
Luxembourg,LUX,2020,39.7
Macao,MAC,2020,39.2
North Macedonia,MKD,2020,39.1
Madagascar,MDG,2020,19.6
Malawi,MWI,2020,18.1
Malaysia,MYS,2020,29.9
Maldives,MDV,2020,30.6
Mali,MLI,2020,16.4
Malta,MLT,2020,42.4
Martinique,MTQ,2020,45.7
Mauritania,MRT,2020,20.3
Mauritius,MUS,2020,37.4
Mayotte,MYT,2020,20.1
Melanesia,OWID_MNS,2020,23.2
Mexico,MEX,2020,29.3
Micronesia (country),FSM,2020,23
Micronesia (region),"",2020,26.9
Middle Africa,"",2020,17.4
Middle income,"",2020,30.7
Moldova,MDA,2020,37.6
Mongolia,MNG,2020,28.6
Montenegro,MNE,2020,39.1
More developed regions,"",2020,42.1
Morocco,MAR,2020,29.6
Mozambique,MOZ,2020,17.7
Myanmar,MMR,2020,29.1
Namibia,NAM,2020,22
Nepal,NPL,2020,25
Netherlands,NLD,2020,43.2
New Caledonia,NCL,2020,33.4
New Zealand,NZL,2020,37.9
Nicaragua,NIC,2020,27.3
Niger,NER,2020,15.1
Nigeria,NGA,2020,18.1
North Korea,PRK,2020,35.3
Northern Africa,"",2020,25.9
Northern America,"",2020,38.6
Northern Europe,"",2020,41
Norway,NOR,2020,39.7
Oceania,"",2020,33.5
Oman,OMN,2020,30.7
Pakistan,PAK,2020,23.5
Palestine,PSE,2020,20.4
Panama,PAN,2020,29.7
Papua New Guinea,PNG,2020,22.6
Paraguay,PRY,2020,26.5
Peru,PER,2020,29.1
Philippines,PHL,2020,25.2
Poland,POL,2020,41.8
Polynesia,OWID_PYA,2020,27.1
Portugal,PRT,2020,46.2
Puerto Rico,PRI,2020,38.2
Qatar,QAT,2020,31.9
Reunion,REU,2020,36
Romania,ROU,2020,43
Russia,RUS,2020,39.6
Rwanda,RWA,2020,20.3
Saint Lucia,LCA,2020,34.9
Saint Vincent and the Grenadines,VCT,2020,31.8
Samoa,WSM,2020,22
Sao Tome and Principe,STP,2020,18.7
Saudi Arabia,SAU,2020,31.9
Senegal,SEN,2020,18.7
Serbia,SRB,2020,41.2
Seychelles,SYC,2020,36.2
Sierra Leone,SLE,2020,19.1
Singapore,SGP,2020,42.4
Slovakia,SVK,2020,41.2
Slovenia,SVN,2020,44.5
Solomon Islands,SLB,2020,20.8
Somalia,SOM,2020,16.8
South Africa,ZAF,2020,27.3
South America,"",2020,32
South Korea,KOR,2020,43.4
South Sudan,SSD,2020,19.2
South-Central Asia,"",2020,27.6
South-Eastern Asia,"",2020,30
Southern Africa,"",2020,26.7
Southern Asia,"",2020,27.6
Southern Europe,"",2020,45.9
Spain,ESP,2020,45.5
Sri Lanka,LKA,2020,34.1
Sub-Saharan Africa,"",2020,18.7
Sudan,SDN,2020,19.7
Suriname,SUR,2020,29.6
Eswatini,SWZ,2020,21.5
Sweden,SWE,2020,41
Switzerland,CHE,2020,43.1
Syria,SYR,2020,21.7
Taiwan,TWN,2020,42.2
Tajikistan,TJK,2020,23.3
Tanzania,TZA,2020,17.7
Thailand,THA,2020,40.1
Timor,TLS,2020,18
Togo,TGO,2020,19.4
Tonga,TON,2020,22.3
Trinidad and Tobago,TTO,2020,36.2
Tunisia,TUN,2020,32.7
Turkey,TUR,2020,31.6
Turkmenistan,TKM,2020,26.9
Uganda,UGA,2020,16.4
Ukraine,UKR,2020,41.4
United Arab Emirates,ARE,2020,34
United Kingdom,GBR,2020,40.8
United States,USA,2020,38.3
United States Virgin Islands,VIR,2020,42.2
Upper middle income,"",2020,35.6
Uruguay,URY,2020,35.6
Uzbekistan,UZB,2020,28.2
Vanuatu,VUT,2020,23.1
Venezuela,VEN,2020,29
Vietnam,VNM,2020,32.6
Western Africa,"",2020,18.2
Western Asia,"",2020,27.8
Western Europe,"",2020,44.2
Western Sahara,ESH,2020,28.4
World,OWID_WRL,2020,30.9
Yemen,YEM,2020,20.3
Zambia,ZMB,2020,17.7
Zimbabwe,ZWE,2020,19.6
